Date,prec,tmin,tmax,tmean,srad
19810604,11.6,21,30,25.5,15
19810605,0,21.9,30.5,26.2,19
19810606,1.1,22,30.2,26.1,17
19810607,0.5,22.3,30.5,26.4,14
19810608,0,21.8,29.8,25.8,15
19810609,9.5,21.6,29,25.3,17
19810610,16.8,20.9,30.5,25.7,17
19810611,0,19.1,29.1,24.1,17
19810612,0,20.8,30.4,25.6,19
19810613,0.6,21,30,25.5,20
19810614,0,20.5,31,25.75,20
19810615,0,19.9,31.3,25.6,18
19810616,3.1,21,30.6,25.8,19
19810617,3.3,19.5,29.2,24.35,12
19810618,27.3,20.1,28.9,24.5,13
19810619,0,21,30,25.5,17
19810620,5,21.6,31.6,26.6,19
19810621,0,21.8,30.2,26,21
19810622,0,22.1,30.1,26.1,16
19810623,0.4,21.8,26.7,24.25,12
19810624,29.7,21.1,28.5,24.8,13
19810625,8.7,19.8,28.7,24.25,15
19810626,0.6,20.9,29.4,25.15,17
19810627,1.9,19.3,28.8,24.05,19
19810628,2.1,19.6,30,24.8,19
19810629,0,19.5,29.4,24.45,17
19810630,0,17.8,30.9,24.35,20
19810701,0,20.3,29.5,24.9,15
19810702,0,19,30,24.5,19
19810703,0,18.2,30.1,24.15,20
19810704,13.7,20.8,26.4,23.6,13
19810705,2.2,20.4,28.8,24.6,17
19810706,64.1,20.3,27.3,23.8,13
19810707,12.2,18.4,30.4,24.4,19
19810708,0,19.4,30.8,25.1,20
19810709,28.5,20.6,24.7,22.65,12
19810710,18.5,17.3,29.6,23.45,20
19810711,0.7,18.7,29,23.85,17
19810712,29,20,28.5,24.25,15
19810713,0.9,18.9,29.2,24.05,19
19810714,0,19.3,29.4,24.35,19
19810715,13.5,20.2,28.8,24.5,17
19810716,54.1,19.7,29,24.35,18
19810717,2.2,19.5,29.3,24.4,17
19810718,1.7,19.5,29.7,24.6,20
19810719,0,20.1,29.4,24.75,17
19810720,2.2,20.2,24.4,22.3,11
19810721,148.9,18,23.6,20.8,12
19810722,0,16.2,26.4,21.3,20
19810723,0,18.7,27.7,23.2,18
19810724,0,19.5,27.5,23.5,14
19810725,7.4,18.9,25.6,22.25,12
19810726,5.4,19.4,28.1,23.75,15
19810727,6.8,19.8,28.4,24.1,18
19810728,29,19.5,28.2,23.85,15
19810729,12.4,17.6,28.9,23.25,21
