date	prec	tmin	tmax	srad
19830101	0	14	27.4	16.11076525
19830102	27.8	13.2	27.4	15.10197926
19830103	6.7	13	27.4	10.2633961
19830104	0	14.8	23.4	12.31563588
19830105	19.5	13.4	24.6	13.98817982
19830106	2	15	24	14.25669867
19830107	10	14	25	14.52628735
19830108	0	13	26.70066667	17.48882082
19830109	0	14.8	27	18.14815057
19830110	0	13.4	27.2	19.58010758
19830111	0	14	26	18.82997616
19830112	0	13	22	11.64327294
19830113	1.3	14	26.315	18.48648294
19830114	1.3	13.8	28.6	18.12155385
19830115	3.4	13.4	27.358	17.11054978
19830116	0.3	13	28	16.61487636
19830117	0	13.4	28.2	18.06050387
19830118	0	14	24.6	18.86202725
19830119	0	14.8	28	16.94025541
19830120	0	16	28.6	18.65300093
19830121	0	14	29	16.20614489
19830122	0	15.2	28.6	21.57195398
19830123	0	13	29	17.16834712
19830124	0	13.2	29	21.63337302
19830125	2.3	16	29	17.29613819
19830126	0.5	14.8	29	19.20658587
19830127	1	12	27	19.62864464
19830128	28.8	13.684	28	17.03100616
19830129	9.8	14	26.24	15.31170767
19830130	106.6	14	26	16.53158543
19830131	0	14	25.2	13.14787876
19830201	16	14.6	26	14.75411649
19830202	0	13.8	27.2	17.29140493
19830203	17.2	14	28	18.51052078
19830204	0	13	25.4	16.81299352
19830205	15.5	12.6	25.6	14.1800886
19830206	64.9	12.2	26	13.66928993
19830207	15	12	24.323	13.42350159
19830208	33.8	14	26	20.651683
19830209	37.2	14	26	18.94422058
19830210	3.3	14	24.6	14.68869991
19830211	0	12.8	26	16.98866445
19830212	0	13	26	21.03915372
19830213	0	12	27	21.06849318
19830214	0	12.6	26.6	16.38802122
19830215	0	14.8	27.2	13.71605817
19830216	0	14	25	15.48851533
19830217	0	14	26	16.18446997
19830218	2.4	13.6	27	14.5829345
19830219	0	13.8	25	17.4446003
19830220	0	13.6	27	18.95700713
19830221	0	13.2	25	15.85912467
19830222	0	15.2	26	13.43310816
19830223	0	14.2	28.2	15.62427652
19830224	0	15	27.2	15.64175303
19830225	0	16	27	15.11376452
19830226	0	14.2	27.4	10.90262017
19830227	0.2	16	27.354	22.51457305
19830228	2	16.2	27	17.07187407
19830301	0	15	27	14.08011154
19830302	39.6	13.2	27	13.95595049
19830303	13.5	13.2	25	12.46199212
19830304	7	13.4	26	16.91773583
19830305	12.5	13.4	27.4	15.22367857
19830306	41.7	15	27.4	12.21702962
19830307	41.9	15.2	25.4	13.73506766
19830308	22.1	15	25.4	13.33184295
19830309	5.9	15.2	25.4	10.59254929
19830310	5	16.2	23	10.8734941
19830311	4.8	14.6	25.2	14.45303897
19830312	0.3	13	26.4	17.20912334
19830313	0	13	27.198	18.04039692
19830314	4	16.4	25.652	13.36899332
19830315	0.6	14	26.016	19.70110651
19830316	0	13.6	26.6	20.94302028
19830317	8.2	15.6	26.6	14.75431964
19830318	0	15	27	19.57147498
19830319	0	14.8	27.4	18.60907155
19830320	0	14.8	29	23.01055863
19830321	0	14	27.208	17.23220056
19830322	0	13.8	27.2	19.01776519
19830323	0	14.2	27	14.34079109
19830324	10.8	16.2	27	11.72717489
19830325	10.4	13.6	23	10.76316555
19830326	40	13.8	23.8	12.81999585
19830327	0	13	24	21.18694703
19830328	0	14.2	26.94	18.29719126
19830329	20.8	14.2	23.873	13.76485859
19830330	0	14.8	27	20.47049576
19830331	0	15	27	18.26805508
19830401	0	13.698	26.44266667	17.29899204
19830402	0	14.374	25.17683333	12.77677867
19830403	16.7	13.743	24.319	14.54349267
19830404	0	13.8	27.1436	18.08028779
19830405	6	14	26	15.7479896
19830406	42	12.6	24	11.10421318
19830407	41.4	12.6	22	11.7751013
19830408	31.6	12.4	22	14.61851028
19830409	9	13.4	22	10.39594167
19830410	2	13.6	22	11.1995279
19830411	1.5	14.4	21	13.7614084
19830412	32.8	12.6	25	15.09909748
19830413	66.4	15	24	15.21696104
19830414	2	14	25	14.65931925
19830415	1.9	15	25	14.2373288
19830416	10	13.8	25	12.20131664
19830417	59.3	13.6	25	15.14197496
19830418	0.6	13.2	25	12.43860699
19830419	5.5	12	27	17.24510328
19830420	2.7	12	27	16.01708987
19830421	28.8	13.6	26	15.32656584
19830422	0	12.4	26	17.97164968
19830423	11	14.2	27	17.27927644
19830424	0	13.4	22	13.93000113
19830425	3.7	12.6	26.6	18.02329254
19830426	0	15.6	26.2	10.44299062
19830427	13.8	13.6	25.2	12.27919451
19830428	12.9	14	22.6	14.37310825
19830429	7.5	14.6	24.4	14.48222625
19830430	37.3	15	26.8	14.72232509
19830501	0.5	13	25.728	15.88101383
19830502	0	15	26.2	14.41247557
19830503	1.8	14	26.59366667	16.74559402
19830504	0	15.2	24.4	12.0129642
19830505	8.4	14.4	26	14.99417247
19830506	0	15	26.99266667	17.57412819
19830507	0	16.4	23.4	11.95448964
19830508	0	13.2	27	20.76000933
19830509	0.7	15	27	19.04094737
19830510	0	14.4	27.8	20.94902514
19830511	0	15.6	26.2	14.45894232
19830512	0	16.2	25.4	13.27539497
19830513	0	13.4	25.2	15.3123916
19830514	0.5	15.6	26	16.31503307
19830515	10.1	16.4	25.84	13.72431199
19830516	31.5	16	22.4	11.27047938
19830517	4.4	14	25.71566667	16.10899389
19830518	8.4	14.6	24.6	10.98054488
19830519	5.5	14.2	26	15.29458231
19830520	3.8	14.4	24.2	14.3810824
19830521	0.7	13.2	24.8	16.01013495
19830522	33.3	13.424	27	16.366731
19830523	18.4	12.8	25.2	16.8491957
19830524	12.5	15.2	25.4	14.92922771
19830525	0	16	25.2	10.4912286
19830526	13.5	14	25.8	17.2825232
19830527	2.2	15.6	23.8	13.23218369
19830528	4.9	15.2	23.4	12.33534802
19830529	0.1	14.4	24.6	13.70052164
19830530	0	13.8	26.6	20.95406148
19830531	0	13.2	25.8	19.9272297
19830601	20.3	14.2	24.2	14.27706209
19830602	1	15.4	25.4	15.01060731
19830603	0.3	15	22.2	10.627979
19830604	10.3	14.8	22.4	13.60824098
19830605	0.8	15.4	24.438	13.47040395
19830606	0	13	24.6	16.44280865
19830607	1.7	14.4	23.8	16.92509434
19830608	27.7	14.8	22.6	10.33074817
19830609	0	11.6	25.2	20.99064938
19830610	1	13.2	26.89783333	18.24781537
19830611	0.1	14.4	23.2	13.40440497
19830612	7.4	12.4	25.962	16.4901085
19830613	0.5	14.6	25.94746667	14.00619692
19830614	0	14.8	27.4	18.07826219
19830615	0	15.4	26.6	16.33931362
19830616	0	14.2	26.4	15.09694663
19830617	1.3	14.2	26.8	17.93056852
19830618	0	14	28.03066667	21.75034169
19830619	0	13.8	28.6	21.74409474
19830620	1.6	13.8	26.752	17.66848229
19830621	0	15.4	28.284	22.22848025
19830622	0.9	13.8	27.8	21.23924123
19830623	0	12.8	27.432	20.86787662
19830624	0	13	26.946	20.99089679
19830625	0	11	27.136	20.62183146
19830626	0	14.8	27.474	20.25383357
19830627	0	12.8	27.234	20.01017797
19830628	6.8	12.6	25.344	16.31319704
19830629	0	14.2	25.2	13.72590055
19830630	0	13	27.404	18.17395898
19830701	0.2	13.4	25.67	13.61143247
19830702	0.1	13	25.797	17.69384251
19830703	0	13	28	18.93805871
19830704	0	12.6	26.412	16.96911079
19830705	0.8	14.8	25.8	16.60742127
19830706	0.2	14.4	26.4	19.71309553
19830707	0	13.8	25.97033333	14.27425153
19830708	2.1	13.8	21.2	9.696260174
19830709	1.2	14.2	24.4	12.43341527
19830710	0	13.4	26.2	18.15639209
19830711	0	11.8	26	19.16619841
19830712	0	15	27.4	18.93438518
19830713	0	15.8	27	20.82020613
19830714	0	14.8	26.8	15.72890471
19830715	0	15.8	24.6	9.379612823
19830716	0	14.2	25.8	17.01043332
19830717	0	13.8	26.8	18.0294687
19830718	0	15.6	27.188	17.04779434
19830719	0	15.8	28.4	18.32118818
19830720	0	16	26.746	13.69806889
19830721	0	14.8	27.2	13.84016305
19830722	0.1	14	24.8	11.08822351
19830723	0	14.4	24.8	14.37863033
19830724	0	14	26.2	21.71663648
19830725	0	14.8	26.6	22.50385877
19830726	0	15.4	27.4	22.66100337
19830727	0	13	24.8	13.82088471
19830728	0	12.4	26.6	14.22052242
19830729	0	14.4	26.4	13.85891409
19830730	1.9	14.8	25.515	12.35075365
19830731	0.1	14.6	24.6	13.13299858
19830801	0	12.4	26.6	15.19457863
19830802	0	13.4	26.2	16.87896548
19830803	0.3	14.4	26.2	16.13520771
19830804	0	13.2	25.8	17.18508787
19830805	0	13.2	27.4	16.31115496
19830806	0.6	10.4	24.4	18.39410569
19830807	0	13.4	27.2	18.67927706
19830808	0	12.8	28.2	23.09597785
19830809	0	16.2	27.2	20.93290887
19830810	0	14.8	26.6	19.53986039
19830811	0	13	28.4	22.29246981
19830812	0.1	15.4	25.6	16.61030241
19830813	0	12.8	29.4	23.78990716
19830814	0	13	28	23.17358491
19830815	0	16	24.8	15.63856566
19830816	0	14.2	27.8	18.79750576
19830817	0	13.4	24.8	16.7298769
19830818	0	13.2	24.2	10.59184673
19830819	0	14.2	26.8	15.85723807
19830820	0	14.6	27.6	20.74335776
19830821	0	14	24.2	13.66141291
19830822	0	13.8	28.4	22.11774874
19830823	0.4	15.2	26.6	13.03613008
19830824	0	14.4	26.8	15.96105998
19830825	0	14.4	26	13.20034788
19830826	0	14.4	25.2	13.21591987
19830827	0	12.2	25	15.88602122
19830828	0.6	15.6	23.4	10.98642424
19830829	12	13	25.2	11.66343201
19830830	1.4	14	25.6	15.67257035
19830831	0	12.4	27.4	19.95741453
19830901	1.7	14	25.8	15.17054753
19830902	1.2	13.2	22.6	18.12634109
19830903	0	15.2	26.6	14.53017764
19830904	2.7	12.4	25.8	15.61476052
19830905	7.9	13.4	25	15.09172183
19830906	0	15.4	22.8	13.09060225
19830907	0	14.4	23.6	14.17515828
19830908	0	11	25.8	14.99209973
19830909	4.9	12.4	24.6	14.73320763
19830910	0	12	24	14.47325588
19830911	2.9	12.4	24.4	15.42521235
19830912	0	13	27	20.55860418
19830913	0	14	27.2	18.95035187
19830914	0	14.6	26	16.25899435
19830915	0.6	11.8	26	16.1307932
19830916	12.7	13.4	23.8	14.78514748
19830917	0	14.6	26	16.14220355
19830918	0	12.4	27.8	20.88191393
19830919	0	12.4	25.4	15.33854449
19830920	0	13.2	24.4	15.47670722
