date	prec	tmin	tmax	tmean	srad
1/1/1990	0	4.77	18.29	11.53	15.66
2/1/1990	0	3.83	15.9	9.865	13.72
3/1/1990	0	3.98	17.83	10.905	13.86
4/1/1990	0	5.29	17.99	11.64	14.29
5/1/1990	0.32	5.24	18.02	11.63	14.8
6/1/1990	1.48	4.67	18.31	11.49	11.41
7/1/1990	0.1	4.4	17.96	11.18	13.97
8/1/1990	0	4.89	19.35	12.12	14.47
9/1/1990	0	6.03	19.25	12.64	14.58
10/1/1990	0	6.62	20.5	13.56	16.42
11/1/1990	0	6.88	20.5	13.69	16.92
12/1/1990	0	7.43	22.27	14.85	17.14
13/1/1990	0	7.75	21.16	14.455	16.99
14/1/1990	0	5.16	21.08	13.12	16.56
15/1/1990	0	6.82	21.67	14.245	16.81
16/1/1990	0	7.89	21.82	14.855	16.88
17/1/1990	0	8.6	23.75	16.175	16.67
18/1/1990	0	10.08	24.61	17.345	16.92
19/1/1990	0	10.98	26.78	18.88	16.88
20/1/1990	0	11.71	25.37	18.54	13.61
21/1/1990	0	10.3	23.88	17.09	16.74
22/1/1990	0	9.7	23.62	16.66	17.46
23/1/1990	0	9.02	23.39	16.205	18.32
24/1/1990	0	8.2	23.36	15.78	17.03
25/1/1990	0	10.32	24.66	17.49	17.35
26/1/1990	0	9.44	23.11	16.275	15.88
27/1/1990	0	9.68	21.8	15.74	10.84
28/1/1990	0.01	7.99	17.37	12.68	8.46
29/1/1990	0	5.59	20.74	13.165	13.82
30/1/1990	0	7.7	22.74	15.22	15.52
31/1/1990	0	9.16	21.03	15.095	9.4
1/2/1990	0	5.89	19.76	12.825	18.18
2/2/1990	0	4.88	19.53	12.205	18.83
3/2/1990	0	5.96	20.6	13.28	17.03
4/2/1990	0	7.52	21.09	14.305	15.73
5/2/1990	0	5.81	21.23	13.52	17.14
6/2/1990	0	6.6	21.79	14.195	18.58
7/2/1990	0.03	8.58	17.78	13.18	8.64
8/2/1990	0.14	7.19	20.77	13.98	4.5
9/2/1990	0.07	7.9	21.22	14.56	15.01
10/2/1990	0.15	7.49	19.37	13.43	12.92
11/2/1990	0	6.48	20.57	13.525	15.52
12/2/1990	0.15	8.89	20.09	14.49	8.5
13/2/1990	6.98	6.91	12.61	9.76	6.8
14/2/1990	13.02	6.18	14.24	10.21	14.98
15/2/1990	0.61	6.57	16.6	11.585	17.96
16/2/1990	0	5.51	19.41	12.46	20.02
17/2/1990	0.22	5.31	17.81	11.56	11.2
18/2/1990	12.29	4.64	8.31	6.475	5.11
19/2/1990	6.4	4.07	14.19	9.13	15.73
20/2/1990	3.25	4.96	15.38	10.17	6.37
21/2/1990	0.21	4.02	17.35	10.685	20.59
22/2/1990	0.01	3.74	17.6	10.67	20.41
23/2/1990	0.01	4.99	16.99	10.99	13.25
24/2/1990	0.18	4.66	15.15	9.905	12.89
25/2/1990	3.21	3.23	13.01	8.12	10.51
26/2/1990	1.04	3.89	16.44	10.165	17.86
27/2/1990	4.98	5.84	15.49	10.665	7.2
28/2/1990	13.22	5.13	10.98	8.055	3.67
1/3/1990	3.7	6.28	15.15	10.715	16.7
2/3/1990	0.17	6.58	17.05	11.815	16.38
3/3/1990	0	4.97	17.56	11.265	22.75
4/3/1990	0	4.37	18.99	11.68	14.9
5/3/1990	0	4.4	18.68	11.54	17.53
6/3/1990	0	4.7	19.45	12.075	18.43
7/3/1990	0	5.87	21.72	13.795	23.15
8/3/1990	0	6.54	21.31	13.925	20.27
9/3/1990	0	7.59	21.05	14.32	20.02
10/3/1990	0	5.84	21.51	13.675	19.44
11/3/1990	0.02	6.63	21.62	14.125	10.73
12/3/1990	0.02	6.34	20.89	13.615	20.7
13/3/1990	0.25	7.46	22.24	14.85	20.16
14/3/1990	0.04	7.6	22.33	14.965	17.17
15/3/1990	0	8.58	23.57	16.075	21.38
16/3/1990	0	9.58	24.02	16.8	20.74
