Date	prec	tmin	tmax
19810811	0.2	20.1	29.3
19810812	4	19.9	27.6
19810813	7.2	18.7	28
19810814	0.1	19.9	28.9
19810815	0.8	18.4	30
19810816	0	19.6	30.5
19810817	2.1	19.9	30.2
19810818	21.9	19	25.2
19810819	30.3	18.4	27.9
19810820	0.1	18.7	28.3
19810821	78.6	18.9	28.4
19810822	0	18.9	27.9
19810823	3.7	19.5	28.4
19810824	8.7	19.5	28.2
19810825	1.2	19.6	29.7
19810826	0.7	20.4	28.9
19810827	0	19	30.4
19810828	0	19.2	30.5
19810829	0	19.2	29.1
19810830	3.8	18.9	29
19810831	0.9	19.4	28.5
19810901	22.7	20.4	26.5
19810902	44.4	19.4	28.3
19810903	9	18.5	29.3
19810904	0	18.8	29.7
19810905	37.6	18.5	27.6
19810906	0.6	18.6	29.6
19810907	0	19.9	30.1
19810908	16.6	18.8	29.6
19810909	1.4	19.3	30.4
19810910	0.2	20.4	29.6
19810911	26.8	20.7	28.5
19810912	0	19.4	29.5
19810913	0	21	29.8
19810914	0	20.4	31.1
19810915	0	20	31
19810916	0	19.6	25.2
19810917	8.7	18.3	28.9
19810918	41.9	19.5	30.2
19810919	3.5	20.5	29.7
19810920	0.7	21.3	29.6
19810921	0.9	19.4	29.2
19810922	0	20.2	30
19810923	7.2	21	29.2
19810924	2.4	19.8	28.6
19810925	12.3	18.7	29.6
19810926	0	21	30.5
19810927	2.8	19.7	29.9
19810928	15.8	21	30.3
19810929	2.4	20.3	30.9
19810930	0	20.7	31.3
19811001	0	20	31
19811002	0	19.9	30.9
19811003	0	20	30.1
19811004	0	19.5	30.3
19811005	0	19.3	31.9
19811006	0	19.7	31.9
19811007	0	20.5	29.3
19811008	0	19.6	30
19811009	0.1	20.6	31.4
19811010	0	19.8	29.9
19811011	0.5	19.2	30.3
19811012	0.2	20.2	30.4
19811013	14.2	19.7	29.6
19811014	0	20	31.2
19811015	2.2	21.4	28.9
19811016	5.4	21	30.4
19811017	0	20	31
19811018	22.4	20.1	30.7
19811019	28.5	19.7	30.1
19811020	3	20.1	27.4
19811021	1.3	20.1	28.4
19811022	2.2	20.5	27.2
19811023	2.9	20.1	27.2
19811024	0.2	20.9	29.4
19811025	0	20.5	30.9
19811026	0	19.9	30.7
19811027	0	20	29.8
19811028	0	19.9	29
19811029	0	19.8	31.4
19811030	0	20	31.4
19811031	0	19.8	30.4
19811101	0	21.6	30.1
19811102	0	20.7	30.4
19811103	36.1	20.3	30.8
19811104	0	20.8	31.8
19811105	0	19.8	32
19811106	0	20.4	32.4
19811107	0	21.1	32
19811108	0	21.1	30
19811109	2.4	20.1	31.4
19811110	5	18.7	31.5
19811111	0	19.9	31.8
19811112	0.3	21.1	30.7
19811113	0.2	20.8	30.8
19811114	0	20.1	32
19811115	0	19.1	31.1
19811116	0	20.7	30.9
19811117	4.5	20.6	30.1
19811118	0	19.9	31.5
19811119	0	19.8	31.7
19811120	0	20.1	32.3
19811121	5.6	20.7	30
19811122	1.3	19.8	30.2
19811123	2.4	19.1	31.6
19811124	0	19.7	32.1
19811125	0	20.2	31.6
19811126	0	20.1	32.2
19811127	0	19.2	31.4
19811128	0	18.5	31.5
19811129	0	19	29.8
19811130	0.3	18.6	31.1
19811201	1.4	19	31.3
19811202	9.8	19.4	30.6
19811203	0.9	20	31.1
19811204	0	20.6	29.8
19811205	3.6	19.2	30
19811206	0	19.1	30.8
19811207	0	21.2	30.1
19811208	0	19.3	31.8
19811209	0	19.9	31
19811210	0	21.4	29.8
19811211	2.9	20.9	32
19811212	0	20.7	32.3
19811213	0.1	20.9	31.9
19811214	0.7	20.4	32.2
19811215	0	18.3	31.8
19811216	0	18.1	30.4
19811217	0	18.3	30
19811218	0	18	31.1
19811219	0	18.9	32
19811220	0	18.4	31.1
19811221	0	19.1	30.2
19811222	0	18.2	30.8
19811223	0	16.9	31.4
19811224	0	18.4	32
19811225	0	18.6	31
19811226	6.4	21.2	27.6
19811227	1.1	21.3	30.4
19811228	0.4	21.2	32.1
19811229	0	20.4	31.1
19811230	0	20.6	33.2
19811231	1.3	21.6	31.8
19820101	0	20.2	32.6
19820102	0	19.1	30.6
19820103	1.3	18.5	31.7
19820104	0	19.1	31.4
19820105	0.1	18.7	29.9
19820106	0	15.3	30.2
19820107	0	16.5	30
19820108	0	15.6	30.4
19820109	0	18.2	30.3
19820110	0	17.1	30.9
19820111	0	22.3	29
19820112	5.1	20.8	30.8
19820113	0	18.4	30.7
19820114	0	17.5	31.1
19820115	0	17.5	31.8
19820116	0	16.8	31.4
19820117	0	15.6	31.3
19820118	0	17.5	28.8
19820119	0.6	19.3	31.1
19820120	0	17.3	29
19820121	0	15.6	30.1
19820122	0	15	30.8
19820123	0	19.6	30.4
19820124	0	16.3	31
19820125	0	16.1	31.1
19820126	0	18	30.5
19820127	0	18.3	31.4
19820128	0	16.9	31.4
19820129	0	17.6	31
19820130	0	19.1	32.1
19820131	0	18.7	32
19820201	0	16.9	31.8
19820202	0	16.9	32
19820203	0	19.3	31.3
19820204	0	21	33.4
19820205	0	20.4	32.1
19820206	0	19.6	30.5
19820207	0	19.6	31.1
19820208	0	19.1	31.9
19820209	0	18.1	29.4
19820210	0	19.1	31.9
19820211	0	19.3	31.9
19820212	0	19.4	33.2
19820213	0	19	32.3
19820214	0	18.5	32.1
19820215	0	18.2	30.9
19820216	0	17.7	31.4
19820217	0	17.7	31.4
19820218	0	19.8	31.9
19820219	0	20	30.4
19820220	0	16.5	29.8
19820221	0	15.2	32.2
19820222	0	17.6	32.3
19820223	0	18.7	33.2
19820224	0	19.8	31.3
19820225	0	20.8	30.4
19820226	0	19.4	31
19820227	0	18	31
19820228	0	19.9	32.2
19820301	0	17.6	33
19820302	0	18	32.4
19820303	0	16.3	30.8
19820304	0	18	32.4
19820305	0	17.8	33
19820306	0	17.4	31.6
19820307	0	17.1	32.6
19820308	0	18.8	31.2
19820309	0	17.8	31
19820310	0	15.9	30.8
19820311	0	17.2	30.5
19820312	0	17.1	31.4
19820313	0	19.6	31.9
19820314	0	20.2	30.4
19820315	0	16.5	30.4
19820316	0	17.8	31
19820317	0	17.9	32.2
19820318	0	18.1	32
19820319	0	19	32.4
19820320	0	17	32
19820321	0	18.9	33.4
19820322	0	20.4	33
19820323	0	20.4	32.8
19820324	0	19.5	32.2
19820325	0	18.5	32.5
19820326	0	18.4	33.4
19820327	0	19	33
19820328	0	18.6	33
19820329	0	19	33.6
19820330	0	22.9	29.5
19820331	0	21.8	30.2
19820401	0	21.9	30.6
19820402	11.3	22	26.9
19820403	2	21.6	27
19820404	78	21.6	30.8
19820405	7.3	21.8	31.3
19820406	0	21.9	30
19820407	5.8	21.4	29.8
19820408	2.8	21.4	29.6
19820409	0	19.9	32.6
19820410	0	19.2	32
19820411	0	20	32
19820412	0	20	31.2
19820413	0	21.7	30.4
19820414	0	20	31
19820415	0	19.4	31.1
19820416	0	19.9	31.3
19820417	0	21.2	31.2
19820418	0	21.6	29.5
19820419	0	20.9	31
19820420	0	20.4	28.8
19820421	10.3	22.1	30.1
19820422	0	20	32.1
19820423	0	20.6	32.2
19820424	0	22.3	30.8
19820425	0	22.4	31.6
19820426	0	23.3	32
19820427	0	21.6	25.6
19820428	12.7	21.8	30
19820429	16.7	21.9	31.4
19820430	15.3	21.9	25.5
19820501	19.6	21.4	23.6
19820502	13.3	20.9	30.1
19820503	15.7	21.4	25.6
19820504	8.9	21.3	30
19820505	0	21.3	29.6
19820506	13.7	21.6	29.4
19820507	25.1	21.6	28.4
19820508	1.1	21.6	27.8
19820509	8.1	20.8	31
19820510	0	20.1	30.8
19820511	0	20	31
19820512	0	21	31.8
19820513	0	22	27
19820514	40.5	20.4	28.3
19820515	1	21.3	28.9
19820516	0	19.5	30.8
19820517	0	20.5	31.4
19820518	0	21.4	31
19820519	0	21.6	31
19820520	0	22.8	29.9
19820521	2.2	21.8	30.3
19820522	0	21.4	31.4
19820523	0	19.8	31.5
19820524	0	20.6	31.4
19820525	0	19.9	29.7
19820526	0	20.6	31.3
19820527	0	22.8	28.8
19820528	3.7	21.6	29.2
19820529	26.1	21.6	28.4
19820530	9.4	20.6	30.3
19820531	0	21.7	30.3
19820601	0	21.8	28.8
19820602	0	21	30.5
19820603	1.9	21.7	29.3
19820604	1.6	21.8	31
19820605	0	22	30.3
19820606	0	21.8	27.9
19820607	4.1	21.4	31
19820608	0	21.9	29.9
19820609	0	20.6	31.2
19820610	0	21.3	31.8
19820611	1.4	22.4	30.3
19820612	0.3	20.2	30.4
19820613	9.2	21.3	29.9
19820614	1.1	20.2	31.4
19820615	0	20.4	30.3
19820616	0	20.6	30.9
19820617	1.7	21.4	30.1
19820618	0	21.4	27.7
19820619	4.8	21.2	26.7
19820620	0.2	20.2	29.9
19820621	0	21.6	29.6
19820622	0	20.4	30.8
19820623	0	21	30.5
19820624	1	20.1	30.2
19820625	13.6	20.3	31.1
19820626	0	20.5	30.5
19820627	0	20.5	30.9
19820628	0	19.1	31
19820629	0	18.9	31.9
19820630	0	19.7	30
19820701	0	21	31
19820702	1.1	21.4	31.2
19820703	1	21.4	31
19820704	0	18.9	31
19820705	0	21.5	30.7
19820706	0	20.9	29.6
19820707	0	20.4	31
19820708	0	19.6	28.8
19820709	0	19.9	30.3
19820710	0	21	30
19820711	0.6	22.3	31.5
19820712	0	19.6	31.6
19820713	6.4	21.4	31.2
19820714	0.4	21.7	30.3
19820715	0	19.9	31.1
19820716	0	20.6	31.8
19820717	2.8	20.9	31.8
19820718	0	20	31.3
19820719	0	20.7	31.9
19820720	0	20.6	30.6
19820721	1	20.2	32
19820722	0	21.8	31.6
19820723	8.6	20.8	31.4
19820724	0	20.4	33.2
19820725	0	21.3	30.1
19820726	0	21	28
19820727	7.4	20.2	31.4
19820728	0	19.6	32.4
19820729	0	20.6	28.7
19820730	0.2	20.4	33
19820731	0	19.5	31.6
19820801	0	20.4	30.3
19820802	7.5	20.3	30
19820803	3.3	21.8	30.7
19820804	2.9	19.3	30.7
19820805	0	19.9	30.7
19820806	0.7	19.7	31
19820807	27.8	20	28.9
19820808	0	20.5	30.5
19820809	0	20.6	31.7
19820810	0	21.1	31.9
19820811	0	21.3	31.4
19820812	63.4	21.6	28.3
19820813	1.5	21	28.8
19820814	1.2	19.5	29.9
19820815	13.6	19.9	30.5
19820816	0	20.7	30.6
19820817	4.2	20.6	29.4
19820818	0	19.8	30.1
19820819	0	20	30.6
19820820	16.6	19.7	30.9
19820821	0	20.7	30.9
19820822	0.7	22.5	30.8
19820823	0	21.9	31.2
19820824	0.5	20.9	31.3
19820825	0	20.7	32.1
19820826	0	20.8	32.3
19820827	0	21.3	31.5
19820828	7.7	21.3	31.6
19820829	0	20.8	30.4
19820830	0	21.5	31.9
19820831	2.5	21.6	32.3
19820901	5.4	21.4	31.3
19820902	2	21.8	30.9
19820903	1.8	21.9	28.6
19820904	0	21.8	31
19820905	0	21.4	29.3
19820906	0	20.8	29.8
19820907	0.6	21.3	31.8
19820908	11.5	22	31.2
19820909	0	22.3	31.9
19820910	0.6	21.5	29.9
19820911	0	21.2	30.7
19820912	0.5	21.3	32
19820913	0	21	32.8
19820914	0	20.7	32.1
19820915	0	20.8	31.4
19820916	0.5	21	30.5
19820917	5.3	20.4	33.2
19820918	0	20.3	32.6
19820919	0	19.9	33.4
19820920	0	21.4	31.4
19820921	0	20.6	31.5
19820922	0	21.7	30.2
19820923	10.6	20	31.9
19820924	0	21.2	31.9
19820925	1.2	21	26.2
19820926	16.2	20.8	29.2
19820927	2.3	20.2	31
19820928	0.2	21	31.1
19820929	0	21.5	31.7
19820930	15.8	21.3	31.4
19821001	9.4	21.3	30.3
19821002	0	20.8	31.4
19821003	0	20.3	30.2
19821004	0	19.2	32
19821005	0	20.8	31.2
19821006	0	21.1	26.4
19821007	2.5	19.8	31.7
19821008	0	19.6	31.5
19821009	5.4	20.1	31.5
19821010	0	21.9	30.2
19821011	0.4	21.2	28.5
19821012	12	20.1	31.3
19821013	0	21.4	32.2
19821014	0	19.4	32.6
19821015	0	20.5	32.7
19821016	3.9	20.4	31.3
19821017	0	21.6	31.8
19821018	0	22.4	31.2
19821019	0.9	20.2	32
19821020	2.8	22.2	31.9
19821021	0	22.2	31.9
19821022	21.1	20.7	31.6
19821023	0	20.4	30.5
19821024	11.8	20.5	32.1
19821025	0	20.2	31.7
19821026	0.9	20.4	31.1
19821027	13.2	20.9	30.2
19821028	0	20.1	30.1
