date,tmax
1981,7.5
1981,3.5
1981,2.5
1981,1
1981,0.8
1981,3.4
1981,5.3
1981,6.2
1981,7.2
1981,6.8
1981,4.4
1981,6.6
1981,1.4
1981,2.8
1981,1.6
1981,4.2
1981,3.2
1981,1.4
1981,4.5
1981,5.4
1981,3
1981,1.2
1981,6.8
1981,3.2
1981,2.8
1981,6.5
1981,6.2
1981,6.8
1981,7.2
1981,6
1981,5
1981,6.6
1981,6.5
1981,5.5
1981,5.2
1981,3.5
1981,4
1981,6.5
1981,5
1981,6.2
1981,6
1981,6.6
1981,4.4
1981,4
1981,6.6
1981,5.6
1981,6
1981,6.4
1981,5
1981,4.6
1981,5.8
1981,5.2
1981,6.5
1981,4.8
1981,5
1981,6.2
1981,6
1981,5.8
1981,6.2
1981,5.28
1981,5.74
1981,5.94
1981,6.4
1981,6.56
1981,6.44
1981,6.32
1981,5.92
1981,5.9
1981,6.28
1981,6.36
1981,6.44
1981,6
1981,5.76
1981,4.36
1981,5.28
1981,5.48
1981,5.56
1981,4.4
1981,4.86
1981,5
1981,5.28
1981,4.4
1981,4.88
1981,4.84
1981,4.6
1981,4.94
1981,4.8
1981,3.78
1981,4.34
1981,3.98
1981,6.6
1981,4.6
1981,3.2
1981,4
1981,6
1981,3.4
1981,2.8
1981,6.2
1981,6
1981,3.5
1981,5
1981,4.6
1981,6
1981,4.8
1981,6
1981,2.2
1981,3.6
1981,5.2
1981,5.8
1981,7.4
1981,6.4
1981,5.5
1981,5
1981,6.4
1981,7.2
1981,5.8
1981,5.8
1981,4.3
1981,3.6
1981,2.6
1981,5.5
1981,8.6
1981,4
1981,6.4
1981,3.6
1981,6.2
1981,5.4
1981,7.6
1981,6.4
1981,4.4
1981,4
1981,7
1981,4.6
1981,7
1981,6.2
1981,5.5
1981,4.5
1981,4.2
1981,5
1981,2
1981,1.7
1981,1
1981,2.5
1981,5
1981,1.4
1981,2
1981,2.6
1981,1.8
1981,6.4
1981,3.4
1981,4.4
1981,8
1981,3.6
1981,4.6
1981,5
1981,6
1981,1.6
1981,0.8
1981,0.4
1981,2.8
1981,2.4
1981,3.5
1981,2
1981,1.6
1981,0.8
1981,0.8
1981,1
1981,3.5
1981,2.8
1981,4.4
1981,4.2
1981,4
1981,0.4
1981,0.4
1981,2
1981,1
1981,3.2
1981,2
1981,0.8
1981,0.4
1981,0.2
1981,-0.5
1981,0.2
1981,2
1981,3
1981,1
1981,0.2
1981,-3.9
1981,-2.4
1981,-2
1981,-0.5
1981,-2.2
1981,-1.4
1981,-1
1981,-0.6
1981,-0.5
1981,4.4
1981,1.5
1981,1
1981,-1.4
1981,-2.5
1981,-0.12
1981,2
1981,6.4
1981,1.6
1981,3.2
1981,2
1981,3.2
1981,2
1981,0.8
1981,1.6
1981,1
1981,1.2
1981,0.8
1981,-2.4
1981,1.2
1981,-1.4
1981,0.8
1981,-1
1981,-0.6
1981,-1
1981,-3.4
1981,1.4
1981,2
1981,1.6
1981,1.4
1981,0.5
1981,2
1981,2.2
1981,2.6
1981,2
1981,2.4
1981,1.4
1981,1.4
1981,1.8
1981,2.2
1981,2.6
1981,3.2
1981,2.4
1981,2.6
1981,2.6
1981,1.8
1981,1.8
1981,2.4
1981,2.6
1981,1.8
1981,1.6
1981,2.4
1981,1.4
1981,4.6
1981,2.4
1981,6.6
1981,1.6
1981,1.2
1981,1.2
1981,2.4
1981,3.2
1981,2.2
1981,1.4
1981,2.4
1981,2.2
1981,2.4
1981,4.6
1981,3.8
1981,4.2
1981,4.6
1981,5.6
1981,6.2
1981,3.8
1981,5.8
1981,7.6
1981,5.2
1981,6.6
1981,2.6
1981,2.2
1981,1.8
1981,8
1981,7.4
1981,4.6
1981,3.6
1981,2.8
1981,5.4
1981,5.4
1981,6.8
1981,6.8
1981,9.4
1981,8
1981,4.6
1981,8.4
1981,5.4
1981,4.8
1981,6.4
1981,9.4
1981,5.8
1981,8.4
1981,4.6
1981,8.2
1981,8.6
1981,7.6
1981,8.2
1981,8
1981,9
1981,6.6
1981,8.2
1981,6
1981,1.4
1981,6.496
1981,1
1981,4
1981,6
1981,4.8
1981,6.4
1981,7.2
1981,8.4
1981,5.6
1981,6.8
1981,8.6
1981,6.2
1981,6.4
1981,9.6
1981,7.8
1981,9.4
1981,5.4
1981,7.4
1981,9.4
1981,8.6
1981,6
1981,9.4
1981,7.2
1981,4.8
1981,7
1981,6.6
1981,6.8
1981,9
1981,9
1981,8.6
1981,5.8
1981,5
1981,4
1981,7.8
1981,6.2
1981,7.6
1981,9
1981,8
1981,7
1981,8
1981,4.8
1981,4.4
1981,6
1981,6.2
1981,3.8
1981,5
1981,6.2
1981,4.2
1981,7.8
1981,10
1981,7.8
1981,7
1981,8
1981,7.6
1981,8
1981,10.4
1981,9.6
1981,4.8
1981,4.6
1982,6.4
1982,5.4
1982,8
1982,9.2
1982,9
1982,8.2
1982,7.4
1982,8.4
1982,7.2
1982,3.6
1982,5
1982,4
1982,4.8
1982,2.6
1982,1.8
1982,1.8
1982,6.8
1982,7.8
1982,9.4
1982,9.2
1982,8.8
1982,7.4
1982,7.6
1982,7.2
1982,10.4
1982,8.2
1982,7.2
1982,7
1982,9
1982,9.2
1982,8
1982,8.4
1982,8.2
1982,9
1982,9.6
1982,8.6
1982,8.8
1982,8.6
1982,9.4
1982,9.4
1982,9
1982,9.2
1982,6
1982,6.6
1982,8.4
1982,7.8
1982,9
1982,8.8
1982,9.2
1982,6
1982,11
1982,9.4
1982,9
1982,9.2
1982,9
1982,8.4
1982,8.2
1982,8
1982,9.6
1982,7
1982,9
1982,9.2
1982,6.6
1982,9.4
1982,8.8
1982,8.6
1982,8.4
1982,7.4
1982,6.4
1982,8.2
1982,9.8
1982,8
1982,6.6
1982,6
1982,7.2
1982,8.8
1982,7.8
1982,6.4
1982,8.8
1982,7.2
1982,4.6
1982,6.4
1982,8.2
1982,9
1982,10.4
1982,10
1982,7.8
1982,7
1982,5.8
1982,5.8
1982,8.8
1982,9
1982,7.2
1982,6.4
1982,6.8
1982,7
1982,3.8
1982,5.4
1982,7.2
1982,8.8
1982,6.2
1982,8.6
1982,7.6
1982,6.8
1982,6
1982,5.8
1982,8.4
1982,7.8
1982,8
1982,7.6
1982,5
