date	prec	tmin	tmax	srad
19860101	0	17.4	33.6	22.8
19860102	0	16.3	34.2	22.2
19860103	0	19	34.3	21.2
19860104	0	19	35.5	22.9
19860105	0	16.9	34.8	23.9
19860106	0	17.6	34.6	23.2
19860107	0	17.4	35	23.8
19860108	0	17.4	36	23.7
19860109	0	17.3	35.4	22.3
19860110	0	17.9	35	24.5
19860111	0	17.7	34.7	23.4
19860112	0	17	34.3	24.1
19860113	0	16.6	32	23.5
19860114	0	18.7	31.6	21.9
19860115	0	17.7	31.3	22.6
19860116	0	17.5	32.7	23.1
19860117	0	18.7	34.8	21.9
19860118	0	18	34.5	23.3
19860119	0	17.8	35.4	23.6
19860120	0	18.6	33.8	23.1
19860121	0	18.7	33.8	17.3
19860122	0	19.5	33.7	14.1
19860123	0	19.3	34.8	20.4
19860124	0	18.3	35.5	23.2
19860125	0	18.8	37.1	23.2
19860126	0	18	35.5	22.5
19860127	0	19.3	34.8	23.3
19860128	0	20	35.6	22.5
19860129	0	18.9	36.6	24.9
19860130	0	17.7	36.9	24
19860131	0	18.7	37.1	23.4
19860201	0	22.2	37.6	21.7
19860202	0	22.5	38.8	23.9
19860203	0	22.5	37	24.4
19860204	0	20.8	37.7	23.8
19860205	0	21	36.6	24.2
19860206	0	20.6	38.5	24.7
19860207	0	21.9	35.1	21.9
19860208	0	19.4	35	22.9
19860209	0	20	35.7	22.8
19860210	0	19.5	37.5	23.9
19860211	0	21.3	38.4	24.2
19860212	0	20.4	37.8	23.6
19860213	0	21.5	38.1	23.9
19860214	0	20.4	38.8	23.3
19860215	0	22.3	37	23.3
19860216	0	20.5	36.5	22.1
19860217	0	19.4	37.6	22.4
19860218	0	20.4	36.7	20.7
19860219	0	21.9	38.4	24.3
19860220	0	21.2	38.7	24.9
19860221	0	20	38	20.7
19860222	0	20.8	38.6	25.1
19860223	0	19.5	39.8	24.5
19860224	0	20.5	37.5	20
19860225	0	21.2	37.5	24.2
19860226	0	21.4	36.8	23.7
19860227	0	21.5	38.1	23.3
19860228	0	22.3	37.7	23
19860301	0	22.9	37.5	23.1
19860302	0	21.8	39.5	23.9
19860303	0	23	38.6	15.5
19860304	0	22.5	38.7	15.2
19860305	0	22.5	37.1	18.7
19860306	0	24.3	36.1	22.3
19860307	0	22.9	36.4	19.8
19860308	0	21.9	36.8	23.2
19860309	4.3	21.5	37.5	20.4
19860310	0	25.9	38.2	20.9
19860311	0	23.5	39	24.6
19860312	0	23	38	17.6
19860313	0	22.8	38.5	24.9
19860314	0	20.2	39.7	24.7
19860315	13.3	23	38	24.1
19860316	0	19	32.6	13.6
19860317	0	21	35	18.7
19860318	0	21.5	37.5	22.2
19860319	0	23.9	36.8	22
19860320	0	24.8	36.6	20.3
19860321	0	23	34.6	13.4
19860322	0	23.6	37.3	17
19860323	0	26.5	37.2	19
19860324	0	24.6	38.2	24.5
19860325	0	24.2	36.7	19.7
19860326	0	23.6	37.4	18.7
19860327	0	22.1	33	14.7
19860328	0	24	36.4	22.7
19860329	0	23	37	24.2
19860330	0	24.5	37	23.9
19860331	7.2	25.2	37.2	22.6
19860401	0	25.4	34.5	15.8
19860402	0	21	36.5	22.1
19860403	0	24.1	36	20.9
19860404	0	24.7	36	22.9
19860405	3.2	25.3	35.7	19.3
19860406	0	25.4	32.5	16.7
19860407	0	23.1	37	22.2
19860408	0	24.3	35	20.7
19860409	14.2	25	36.1	20
19860410	0	23.8	34.4	22.7
19860411	0	20.6	30.9	15.7
19860412	0	23.1	35.1	24.7
19860413	1.4	23.9	34.7	24.9
19860414	0	23.2	35	24.1
19860415	0	24.1	35.3	24.9
19860416	0	25.2	36.7	22.4
19860417	7.2	25.3	36.7	23.2
19860418	0	26.5	35	21.4
19860419	0	26.1	34.5	16.2
19860420	0	24	36.3	20.9
19860421	40.5	24.7	36.6	22.3
19860422	0	22	34.4	21.5
19860423	0	23	32	15.2
19860424	0	23.2	33.8	20.1
19860425	0	23.4	35	21.8
19860426	0	24.8	34	20
19860427	0	23.2	34.8	20.6
19860428	0	19.5	35.1	20.8
19860429	0	21	34	21.9
19860430	0	23.6	35.4	23
19860501	0	24.6	35.2	24.3
19860502	1.4	23	35	17.2
19860503	0	23.8	36.3	21.5
19860504	0	24.5	31.8	11.6
19860505	0	23.8	37	21.3
19860506	0	24.6	37.5	23.2
19860507	0	25	34.5	21.3
19860508	0	24	35.5	14.9
19860509	0	23.8	37.1	21.9
19860510	0	21.5	32.7	16.2
19860511	0	21.8	34	22.9
19860512	0	23.5	33	12.9
19860513	0	23.1	37.5	22.9
19860514	37.1	24.8	36.4	22.5
19860515	0	20.2	32.6	16.7
19860516	1.2	20.5	28.2	10.3
19860517	0	22	32.3	22.6
19860518	1.4	23	31.6	14.1
19860519	0	21.6	32.6	22.6
19860520	0	22.9	35.1	22.2
19860521	0	23.7	35	22.1
19860522	9.3	24	32.2	13.2
19860523	0	21.5	32.5	13.8
19860524	0	22	33.8	22
19860525	0	22.2	33.3	22.8
19860526	0	23	33.5	22.5
19860527	36.3	22.5	34.5	19.2
19860528	0	20.9	33.5	22.2
19860529	0	22.9	33.6	20.6
19860530	0	23	34.2	20.7
19860531	0	23.5	34.7	18.2
19860601	0	24	32.4	18.4
19860602	0	23.5	35.5	21
19860603	4.6	23.4	35.6	18.9
19860604	11.4	23.2	33.8	18.9
19860605	0	19.8	32.3	17.8
19860606	2.4	21.3	33.5	18.3
19860607	0	20.6	31.2	20.8
19860608	0	21.6	31.4	22.3
19860609	5.8	23	32.4	20.3
19860610	0	20.3	29	13.2
19860611	0	21	31.1	16.2
19860612	0	22	34	22.1
19860613	0	23.4	32.6	18.5
19860614	16	20.2	31.1	15.5
19860615	1.2	20	33.2	17.4
19860616	0	21.9	32.7	20.7
19860617	0	22.5	34.5	22.1
19860618	0	22.5	34.1	22
19860619	22.5	20.8	29.5	15.1
19860620	30.4	21.5	34.4	21.5
19860621	0	19.2	35.2	8.1
19860622	0	20.9	30	20.4
19860623	0	22	30.5	18.9
19860624	0	21.7	29.7	14.4
19860625	12.6	18.3	25.5	8.4
19860626	0	20.1	27.8	14
19860627	0	19.8	29.8	21.4
19860628	0	20	32.1	19.8
19860629	0	21.6	32.9	20.6
19860630	13.6	23.4	30	13.9
19860701	0	20.5	31	20.5
19860702	0	21.9	30.3	16.6
19860703	5.9	19.4	25.2	9
19860704	0	21.9	28.7	15.1
19860705	6.3	20	24.7	8.5
19860706	1.6	20	24	8.4
19860707	0	19.5	30	18.1
19860708	32	20.9	31	20.6
19860709	0	19.5	29.4	14
19860710	0	20.6	30.5	21.3
19860711	0	23	28.4	9.9
19860712	3.3	19.7	29.2	15.8
19860713	0	20.7	29.6	21.8
19860714	2.6	21.3	27.8	12.1
19860715	0	20.6	29.8	17.4
19860716	61.5	20.7	28.8	12.4
19860717	0	20	30.2	19.8
19860718	0	20.4	30.4	22.2
19860719	0	20.5	30.5	21.7
19860720	0.8	22.8	30	12.5
19860721	0	19.5	29.6	13.7
19860722	14.5	21.4	28.5	11.9
19860723	24.3	21.6	28.2	12.8
19860724	0	20.6	25.4	8.3
19860725	0	21.4	28.1	14.4
19860726	0	21	30	19.5
19860727	10.2	21.9	27.2	10.5
19860728	1.4	20.5	27.5	12.8
19860729	0	19	28.6	15.7
19860730	0	19.5	29.5	16
19860731	53.4	19.7	26.7	11.6
19860801	0	19.8	26.2	9.9
19860802	0	19.7	27.3	15.4
19860803	0	19.8	29	19.4
19860804	4.6	19.9	31.8	20.9
19860805	0.7	21.7	28.2	14.1
19860806	0	20.5	30.7	18.3
19860807	5.2	19.8	29	15.6
19860808	0	20	31.6	21.4
19860809	20.2	20.4	31.4	20.3
19860810	14.3	20.7	31.3	16.4
19860811	0	20.3	30.4	19.6
19860812	0	21.5	29.6	16.7
19860813	0	21.5	29	15.6
19860814	4	20.4	30.6	13.6
19860815	0	20.7	28.1	15
19860816	10.8	21	30.8	19.7
19860817	2.8	19.7	29	12.7
19860818	5	19.8	31.5	20.6
19860819	0	19.2	26.2	9.4
