date	prec	tmin	tmax	tmean	srad
19900101	0	4.77	18.29	11.53	15.66
19900102	0	3.83	15.9	9.865	13.72
19900103	0	3.98	17.83	10.905	13.86
19900104	0	5.29	17.99	11.64	14.29
19900105	0.32	5.24	18.02	11.63	14.8
19900106	1.48	4.67	18.31	11.49	11.41
19900107	0.1	4.4	17.96	11.18	13.97
19900108	0	4.89	19.35	12.12	14.47
19900109	0	6.03	19.25	12.64	14.58
19900110	0	6.62	20.5	13.56	16.42
19900111	0	6.88	20.5	13.69	16.92
19900112	0	7.43	22.27	14.85	17.14
19900113	0	7.75	21.16	14.455	16.99
19900114	0	5.16	21.08	13.12	16.56
19900115	0	6.82	21.67	14.245	16.81
19900116	0	7.89	21.82	14.855	16.88
19900117	0	8.6	23.75	16.175	16.67
19900118	0	10.08	24.61	17.345	16.92
19900119	0	10.98	26.78	18.88	16.88
19900120	0	11.71	25.37	18.54	13.61
19900121	0	10.3	23.88	17.09	16.74
19900122	0	9.7	23.62	16.66	17.46
19900123	0	9.02	23.39	16.205	18.32
19900124	0	8.2	23.36	15.78	17.03
19900125	0	10.32	24.66	17.49	17.35
19900126	0	9.44	23.11	16.275	15.88
19900127	0	9.68	21.8	15.74	10.84
19900128	0.01	7.99	17.37	12.68	8.46
19900129	0	5.59	20.74	13.165	13.82
19900130	0	7.7	22.74	15.22	15.52
19900131	0	9.16	21.03	15.095	9.4
19900201	0	5.89	19.76	12.825	18.18
19900202	0	4.88	19.53	12.205	18.83
19900203	0	5.96	20.6	13.28	17.03
19900204	0	7.52	21.09	14.305	15.73
19900205	0	5.81	21.23	13.52	17.14
19900206	0	6.6	21.79	14.195	18.58
19900207	0.03	8.58	17.78	13.18	8.64
19900208	0.14	7.19	20.77	13.98	4.5
19900209	0.07	7.9	21.22	14.56	15.01
19900210	0.15	7.49	19.37	13.43	12.92
19900211	0	6.48	20.57	13.525	15.52
19900212	0.15	8.89	20.09	14.49	8.5
19900213	6.98	6.91	12.61	9.76	6.8
19900214	13.02	6.18	14.24	10.21	14.98
19900215	0.61	6.57	16.6	11.585	17.96
19900216	0	5.51	19.41	12.46	20.02
19900217	0.22	5.31	17.81	11.56	11.2
19900218	12.29	4.64	8.31	6.475	5.11
19900219	6.4	4.07	14.19	9.13	15.73
19900220	3.25	4.96	15.38	10.17	6.37
19900221	0.21	4.02	17.35	10.685	20.59
19900222	0.01	3.74	17.6	10.67	20.41
19900223	0.01	4.99	16.99	10.99	13.25
19900224	0.18	4.66	15.15	9.905	12.89
19900225	3.21	3.23	13.01	8.12	10.51
19900226	1.04	3.89	16.44	10.165	17.86
19900227	4.98	5.84	15.49	10.665	7.2
19900228	13.22	5.13	10.98	8.055	3.67
19900301	3.7	6.28	15.15	10.715	16.7
19900302	0.17	6.58	17.05	11.815	16.38
19900303	0	4.97	17.56	11.265	22.75
19900304	0	4.37	18.99	11.68	14.9
19900305	0	4.4	18.68	11.54	17.53
19900306	0	4.7	19.45	12.075	18.43
19900307	0	5.87	21.72	13.795	23.15
19900308	0	6.54	21.31	13.925	20.27
19900309	0	7.59	21.05	14.32	20.02
19900310	0	5.84	21.51	13.675	19.44
19900311	0.02	6.63	21.62	14.125	10.73
19900312	0.02	6.34	20.89	13.615	20.7
19900313	0.25	7.46	22.24	14.85	20.16
19900314	0.04	7.6	22.33	14.965	17.17
19900315	0	8.58	23.57	16.075	21.38
19900316	0	9.58	24.02	16.8	20.74
19900317	0	10.39	24.96	17.675	18.47
19900318	0	8.94	25.67	17.305	17.5
19900319	0	8.48	25.61	17.045	19.4
19900320	0	9.19	26.17	17.68	17.78
19900321	0.51	10.28	24.83	17.555	11.99
19900322	2.81	10.42	19.67	15.045	7.34
19900323	0.34	8.88	20.02	14.45	11.84
19900324	0.01	7.73	19.62	13.675	14.8
19900325	0.01	5.91	20.02	12.965	20.74
19900326	0	5.1	20.03	12.565	18.04
19900327	0.12	8.59	13.96	11.275	8.75
19900328	1.03	7.09	20.53	13.81	10.3
19900329	4.55	7.47	20.39	13.93	20.81
19900330	0.04	6.92	22.69	14.805	18.97
19900331	0.27	8.18	23.28	15.73	21.17
19900401	0	9.01	23.48	16.245	18
19900402	0	7.69	23.07	15.38	20.92
19900403	0	9.01	21.64	15.325	18
19900404	0	8.19	24.13	16.16	24.73
19900405	0	8.84	23.21	16.025	21.02
19900406	0	9.03	24.44	16.735	14.94
19900407	0	12.15	26.6	19.375	18.36
19900408	0.24	9.71	27.13	18.42	27.04
19900409	0.01	11.91	27.76	19.835	27.76
19900410	0	12.08	29.29	20.685	28.55
19900411	0	13.37	31.02	22.195	22.5
19900412	0.01	15.05	29.56	22.305	22.18
19900413	3.24	13.92	28.75	21.335	10.12
19900414	0.22	12.57	26.55	19.56	25.24
19900415	0	12.21	28.95	20.58	28.08
19900416	0	13.41	31.31	22.36	22.18
19900417	0.01	14.22	30.93	22.575	23.15
19900418	0.85	13.33	32.55	22.94	29.84
19900419	0.06	14.69	31.44	23.065	25.09
19900420	0	13.52	31.5	22.51	26.71
19900421	0	13.02	31.55	22.285	27.36
19900422	0	13.77	32.26	23.015	25.96
19900423	0.1	14.43	33.01	23.72	28.94
19900424	0.04	14.42	33.43	23.925	27.54
19900425	0	15.29	32.93	24.11	26.06
19900426	0.03	16.16	33.31	24.735	26.1
19900427	8.17	16.47	31.67	24.07	19.91
19900428	1.67	14.34	29.97	22.155	15.48
19900429	0.08	12.64	30.55	21.595	27.18
19900430	3.01	14.39	27.06	20.725	14.94
19900501	0.35	11.6	28.81	20.205	27.22
19900502	0.68	14.84	29.57	22.205	18.94
19900503	2.1	14.97	29.86	22.415	13.03
19900504	3.26	15.08	29.45	22.265	11.48
19900505	13.04	16.73	27.42	22.075	17.68
19900506	2.34	14.77	28.01	21.39	12.2
19900507	4.73	14.13	27.78	20.955	22.14
19900508	1.25	16.4	29.24	22.82	28.73
19900509	1.17	16.82	30.91	23.865	28.4
19900510	3.95	17.96	29.97	23.965	19.04
19900511	0.36	19.19	29.13	24.16	21.1
19900512	0.39	17.67	29.96	23.815	19.4
19900513	0.25	18.18	29.46	23.82	22.07
19900514	0.03	18.12	32.01	25.065	24.34
19900515	0	19.45	32.15	25.8	29.02
19900516	0.01	19.65	33.62	26.635	28.87
19900517	0.11	21.01	34.37	27.69	18.86
19900518	1.69	22.76	31.66	27.21	18.18
19900519	0.13	20.44	32.69	26.565	24.23
19900520	0.16	19.44	32.75	26.095	28.33
19900521	0	17.44	32.95	25.195	25.02
