var date value
prec 2007-1 228.8
prec 2007-2 167.1
prec 2007-3 122.8
prec 2007-4 33.7
prec 2007-5 13.5
prec 2007-6 1.1
prec 2007-7 0.3
prec 2007-8 0
prec 2007-9 17.8
prec 2007-10 49.7
prec 2007-11 78.2
prec 2007-12 142.7
tmin 2007-1 22.3
tmin 2007-2 22.2
tmin 2007-3 20.9
tmin 2007-4 18.4
tmin 2007-5 12
tmin 2007-6 10.1
tmin 2007-7 6.8
tmin 2007-8 8.6
tmin 2007-9 15.2
tmin 2007-10 19.6
tmin 2007-11 19.3
tmin 2007-12 20.9
tmax 2007-1 33.2
tmax 2007-2 32.9
tmax 2007-3 30.2
tmax 2007-4 27.6
tmax 2007-5 21.8
tmax 2007-6 22.6
tmax 2007-7 22.3
tmax 2007-8 23.8
tmax 2007-9 30.4
tmax 2007-10 33.7
tmax 2007-11 33.7
tmax 2007-12 34
prec 2008-1 242.9
prec 2008-2 194.5
prec 2008-3 197
prec 2008-4 72.3
prec 2008-5 1.8
prec 2008-6 0.5
prec 2008-7 0
prec 2008-8 2.7
prec 2008-9 4.3
prec 2008-10 32.8
prec 2008-11 59.2
prec 2008-12 200.8
tmin 2008-1 22.1
tmin 2008-2 20.9
tmin 2008-3 20.1
tmin 2008-4 15.8
tmin 2008-5 12.4
tmin 2008-6 8.6
tmin 2008-7 12.5
tmin 2008-8 10.4
tmin 2008-9 12.6
tmin 2008-10 18.6
tmin 2008-11 20.6
tmin 2008-12 21.5
tmax 2008-1 32.7
tmax 2008-2 32.4
tmax 2008-3 30.1
tmax 2008-4 27.7
tmax 2008-5 24.4
tmax 2008-6 20.8
tmax 2008-7 25.8
tmax 2008-8 27
tmax 2008-9 29.6
tmax 2008-10 32
tmax 2008-11 35.3
tmax 2008-12 34.1
prec 2009-1 104.2
prec 2009-2 139
prec 2009-3 144.2
prec 2009-4 71.5
prec 2009-5 28
prec 2009-6 0.2
prec 2009-7 0
prec 2009-8 0
prec 2009-9 0.2
prec 2009-10 14.6
prec 2009-11 126.4
prec 2009-12 240.7
tmin 2009-1 20.7
tmin 2009-2 21.8
tmin 2009-3 20.2
tmin 2009-4 18.9
tmin 2009-5 14.8
tmin 2009-6 9.6
tmin 2009-7 7.8
tmin 2009-8 10.8
tmin 2009-9 13.2
tmin 2009-10 18
tmin 2009-11 22.3
tmin 2009-12 22.1
tmax 2009-1 34.1
tmax 2009-2 32.8
tmax 2009-3 32.4
