date mon value
prec 1 254
prec 2 211
prec 3 163
prec 4 102
prec 5 88
prec 6 67
prec 7 41
prec 8 46
prec 9 68
prec 10 124
prec 11 143
prec 12 226
tmax 1 34
tmax 2 33.6
tmax 3 33.5
tmax 4 32.5
tmax 5 30.5
tmax 6 29.1
tmax 7 29.1
tmax 8 30.7
tmax 9 32.8
tmax 10 34.1
tmax 11 34.1
tmax 12 33.7
tmin 1 21.8
tmin 2 21.4
tmin 3 21.3
tmin 4 20.3
tmin 5 18.2
tmin 6 16.8
tmin 7 17.9
tmin 8 19.5
tmin 9 21.6
tmin 10 22.9
tmin 11 22.9
tmin 12 22.5
