var date value
prec 1994-1 159
prec 1994-2 146.2
prec 1994-3 189.2
prec 1994-4 100.9
prec 1994-5 85.1
prec 1994-6 15.6
prec 1994-7 55.9
prec 1994-8 28.5
prec 1994-9 70
prec 1994-10 158.4
prec 1994-11 146.8
prec 1994-12 187.8
tmin 1994-1 23.1
tmin 1994-2 22.8
tmin 1994-3 21.7
tmin 1994-4 20.4
tmin 1994-5 19.5
tmin 1994-6 17.9
tmin 1994-7 15.9
tmin 1994-8 17.7
tmin 1994-9 20.6
tmin 1994-10 22.2
tmin 1994-11 22.9
tmin 1994-12 22.6
tmax 1994-1 33.6
tmax 1994-2 33.6
tmax 1994-3 32.6
tmax 1994-4 33
tmax 1994-5 33.2
tmax 1994-6 31.2
tmax 1994-7 29.8
tmax 1994-8 32.8
tmax 1994-9 34.8
tmax 1994-10 35
tmax 1994-11 35.6
tmax 1994-12 33.8
prec 1995-1 87.2
prec 1995-2 306.8
prec 1995-3 135.4
prec 1995-4 57
prec 1995-5 45.3
prec 1995-6 82.6
prec 1995-7 6.9
prec 1995-8 3.1
prec 1995-9 24.4
prec 1995-10 93.9
prec 1995-11 125.4
prec 1995-12 210.7
tmin 1995-1 22.9
tmin 1995-2 22.5
tmin 1995-3 22.1
tmin 1995-4 19
tmin 1995-5 17.4
tmin 1995-6 17.6
tmin 1995-7 17.1
tmin 1995-8 17.2
tmin 1995-9 20.7
tmin 1995-10 21
tmin 1995-11 22.3
tmin 1995-12 22.6
tmax 1995-1 33.4
tmax 1995-2 33.3
tmax 1995-3 33
tmax 1995-4 31.6
tmax 1995-5 31.1
tmax 1995-6 30.9
tmax 1995-7 31
tmax 1995-8 32.3
tmax 1995-9 34.9
tmax 1995-10 33.8
tmax 1995-11 35
tmax 1995-12 33.8
prec 1996-1 219.8
prec 1996-2 90
prec 1996-3 175.1
prec 1996-4 90.4
prec 1996-5 60.6
prec 1996-6 41.4
prec 1996-7 0.1
prec 1996-8 8.9
prec 1996-9 113.9
prec 1996-10 142.9
prec 1996-11 176.4
prec 1996-12 84.2
tmin 1996-1 22.3
tmin 1996-2 22.5
tmin 1996-3 21.5
tmin 1996-4 20.1
tmin 1996-5 17.4
tmin 1996-6 14.1
tmin 1996-7 15.9
tmin 1996-8 18.1
tmin 1996-9 18.9
tmin 1996-10 21.4
tmin 1996-11 21.2
tmin 1996-12 22.7
tmax 1996-1 32.8
tmax 1996-2 33.3
tmax 1996-3 32.4
tmax 1996-4 32.7
tmax 1996-5 31.1
tmax 1996-6 27.4
tmax 1996-7 29.8
tmax 1996-8 33.2
tmax 1996-9 33.1
tmax 1996-10 34.2
tmax 1996-11 33.9
tmax 1996-12 33.9
prec 1997-1 229.9
prec 1997-2 210.7
prec 1997-3 181.9
prec 1997-4 124.2
prec 1997-5 73.2
prec 1997-6 190.1
prec 1997-7 1.3
prec 1997-8 34.6
prec 1997-9 26.8
prec 1997-10 67.8
prec 1997-11 79.8
prec 1997-12 241.1
tmin 1997-1 22.5
tmin 1997-2 22.4
tmin 1997-3 21.7
tmin 1997-4 20
tmin 1997-5 17.9
tmin 1997-6 17
tmin 1997-7 17.3
tmin 1997-8 17
tmin 1997-9 22
tmin 1997-10 22.4
tmin 1997-11 23
tmin 1997-12 23.5
tmax 1997-1 33
tmax 1997-2 33.2
tmax 1997-3 32.6
tmax 1997-4 32.6
tmax 1997-5 31.6
tmax 1997-6 30.3
tmax 1997-7 31.2
tmax 1997-8 32.1
tmax 1997-9 36.2
tmax 1997-10 35.2
tmax 1997-11 35.7
tmax 1997-12 34.7
prec 1998-1 147.6
prec 1998-2 142.6
prec 1998-3 203.6
prec 1998-4 92.5
prec 1998-5 21.2
prec 1998-6 28.2
prec 1998-7 2.2
prec 1998-8 65.1
prec 1998-9 125.4
prec 1998-10 158.1
prec 1998-11 195.8
prec 1998-12 325.5
tmin 1998-1 24.1
tmin 1998-2 22.9
tmin 1998-3 22.1
tmin 1998-4 20.4
tmin 1998-5 16.7
tmin 1998-6 16.2
tmin 1998-7 17.5
tmin 1998-8 17.1
tmin 1998-9 18.4
tmin 1998-10 20.9
tmin 1998-11 21.6
tmin 1998-12 22.8
tmax 1998-1 34.6
tmax 1998-2 33.7
tmax 1998-3 33
tmax 1998-4 33
tmax 1998-5 30.4
tmax 1998-6 29.5
tmax 1998-7 31.4
tmax 1998-8 32.2
tmax 1998-9 32.6
tmax 1998-10 33.7
tmax 1998-11 34.3
tmax 1998-12 34
prec 1999-1 139
prec 1999-2 117.4
prec 1999-3 189.6
prec 1999-4 161.1
prec 1999-5 12.2
prec 1999-6 27.1
prec 1999-7 6.9
prec 1999-8 0.2
prec 1999-9 34.7
prec 1999-10 35.4
prec 1999-11 119.5
prec 1999-12 177.6
tmin 1999-1 23.2
tmin 1999-2 23.4
tmin 1999-3 22.1
tmin 1999-4 19.3
tmin 1999-5 17.5
tmin 1999-6 16.8
tmin 1999-7 15.6
tmin 1999-8 17.3
tmin 1999-9 22
tmin 1999-10 21.6
tmin 1999-11 21.1
tmin 1999-12 22.5
tmax 1999-1 33.7
tmax 1999-2 34.2
tmax 1999-3 33
tmax 1999-4 31.9
tmax 1999-5 31.2
tmax 1999-6 30.1
tmax 1999-7 29.5
tmax 1999-8 32.4
tmax 1999-9 36.2
tmax 1999-10 34.4
tmax 1999-11 33.8
tmax 1999-12 33.7
prec 2000-1 131.3
prec 2000-2 214
prec 2000-3 210.8
prec 2000-4 138.5
prec 2000-5 22.2
prec 2000-6 26.8
prec 2000-7 48.2
prec 2000-8 22.8
prec 2000-9 31
prec 2000-10 50.3
prec 2000-11 162.4
prec 2000-12 117.2
tmin 2000-1 23.5
tmin 2000-2 23
tmin 2000-3 21.5
tmin 2000-4 20
tmin 2000-5 17.8
tmin 2000-6 17.1
tmin 2000-7 13.2
tmin 2000-8 18.7
tmin 2000-9 19.7
tmin 2000-10 21.7
tmin 2000-11 21.5
tmin 2000-12 22.4
tmax 2000-1 34.4
tmax 2000-2 33.8
tmax 2000-3 32.4
tmax 2000-4 33.6
tmax 2000-5 31.5
tmax 2000-6 30.4
tmax 2000-7 27.1
tmax 2000-8 32.7
tmax 2000-9 33.9
tmax 2000-10 34.5
tmax 2000-11 34.2
tmax 2000-12 34
