date mon value
prec 1 111
prec 2 98
prec 3 126
prec 4 75
prec 5 34
prec 6 21
prec 7 11
prec 8 14
prec 9 27
prec 10 62
prec 11 99
prec 12 120
tmax 1 33.5
tmax 2 32.7
tmax 3 30.6
tmax 4 27.5
tmax 5 24.6
tmax 6 22.2
tmax 7 23.5
tmax 8 26.1
tmax 9 28.2
tmax 10 31.2
tmax 11 32.5
tmax 12 34.4
tmin 1 22.1
tmin 2 21.3
tmin 3 19.2
tmin 4 16.1
tmin 5 13.2
tmin 6 10.8
tmin 7 9.3
tmin 8 11.9
tmin 9 14
tmin 10 17
tmin 11 18.3
tmin 12 20.2
