var date value
prec 1990-1 63.2
prec 1990-2 69.6
prec 1990-3 58.6
prec 1990-4 98.3
prec 1990-5 61
prec 1990-6 18.1
prec 1990-7 4
prec 1990-8 9.9
prec 1990-9 9.7
prec 1990-10 71
prec 1990-11 65.7
prec 1990-12 149.6
tmin 1990-1 22.1
tmin 1990-2 20
tmin 1990-3 20
tmin 1990-4 17.8
tmin 1990-5 11.7
tmin 1990-6 8.9
tmin 1990-7 7.5
tmin 1990-8 13.5
tmin 1990-9 12.7
tmin 1990-10 18.8
tmin 1990-11 20.4
tmin 1990-12 21.2
tmax 1990-1 35.8
tmax 1990-2 32.7
tmax 1990-3 32.8
tmax 1990-4 28.2
tmax 1990-5 23.9
tmax 1990-6 20.8
tmax 1990-7 21.2
tmax 1990-8 29.4
tmax 1990-9 28
tmax 1990-10 32.5
tmax 1990-11 33.6
tmax 1990-12 34.1
prec 1991-1 144.3
prec 1991-2 132.7
prec 1991-3 192.2
prec 1991-4 46.6
prec 1991-5 42.8
prec 1991-6 12.5
prec 1991-7 7.4
prec 1991-8 1.2
prec 1991-9 40.8
prec 1991-10 75.8
prec 1991-11 105.3
prec 1991-12 198.9
tmin 1991-1 20.6
tmin 1991-2 20.1
tmin 1991-3 20.1
tmin 1991-4 17.1
tmin 1991-5 15.4
tmin 1991-6 12.6
tmin 1991-7 10.1
tmin 1991-8 12.6
tmin 1991-9 15.5
tmin 1991-10 16.7
tmin 1991-11 17.4
tmin 1991-12 21.1
tmax 1991-1 33.6
tmax 1991-2 33.9
tmax 1991-3 31.9
tmax 1991-4 29.7
tmax 1991-5 26.8
tmax 1991-6 24
tmax 1991-7 23.5
tmax 1991-8 27.5
tmax 1991-9 29.4
tmax 1991-10 30.8
tmax 1991-11 30.8
tmax 1991-12 34.2
prec 1992-1 140.1
prec 1992-2 160.8
prec 1992-3 173.4
prec 1992-4 60.7
prec 1992-5 12.8
prec 1992-6 23.2
prec 1992-7 2.6
prec 1992-8 7.3
prec 1992-9 26.7
prec 1992-10 68.5
prec 1992-11 134.7
prec 1992-12 212.5
tmin 1992-1 20.5
tmin 1992-2 21
tmin 1992-3 18.4
tmin 1992-4 16.5
tmin 1992-5 14.5
tmin 1992-6 14.6
tmin 1992-7 7.3
tmin 1992-8 12.1
tmin 1992-9 13.6
tmin 1992-10 16.8
tmin 1992-11 17.3
tmin 1992-12 21.2
tmax 1992-1 33.5
tmax 1992-2 33.1
tmax 1992-3 30.8
tmax 1992-4 28.3
tmax 1992-5 24.9
tmax 1992-6 24.8
tmax 1992-7 19.4
tmax 1992-8 26.5
tmax 1992-9 27.7
tmax 1992-10 30.5
tmax 1992-11 30.9
tmax 1992-12 33.7
prec 1993-1 47.6
prec 1993-2 33.7
prec 1993-3 116.3
prec 1993-4 23.2
prec 1993-5 8.9
prec 1993-6 1.1
prec 1993-7 5.9
prec 1993-8 2.1
prec 1993-9 6.5
prec 1993-10 83.4
prec 1993-11 142.8
prec 1993-12 81
tmin 1993-1 22.5
tmin 1993-2 18.8
tmin 1993-3 20.3
tmin 1993-4 17.4
tmin 1993-5 13.1
tmin 1993-6 11.3
tmin 1993-7 9.1
tmin 1993-8 11.2
tmin 1993-9 12.8
