date mon value
prec 1 317
prec 2 290
prec 3 253
prec 4 133
prec 5 121
prec 6 47
prec 7 41
prec 8 53
prec 9 107
prec 10 134
prec 11 219
prec 12 294
tmax 1 32.4
tmax 2 32.3
tmax 3 32.4
tmax 4 31.5
tmax 5 30
tmax 6 28.4
tmax 7 27.8
tmax 8 29.2
tmax 9 30.3
tmax 10 32
tmax 11 32
tmax 12 31.9
tmin 1 21.5
tmin 2 21.4
tmin 3 21.5
tmin 4 20.7
tmin 5 19.1
tmin 6 17.6
tmin 7 17.9
tmin 8 19.3
tmin 9 20.3
tmin 10 22.1
tmin 11 22
tmin 12 22
