var date value
prec 1987-1 311.4
prec 1987-2 169.4
prec 1987-3 167.1
prec 1987-4 127.9
prec 1987-5 115
prec 1987-6 65.2
prec 1987-7 111.7
prec 1987-8 52.7
prec 1987-9 33.1
prec 1987-10 184.2
prec 1987-11 193.5
prec 1987-12 369.4
tmin 1987-1 23.8
tmin 1987-2 23.2
tmin 1987-3 23.3
tmin 1987-4 21.8
tmin 1987-5 19.3
tmin 1987-6 18.2
tmin 1987-7 19
tmin 1987-8 19
tmin 1987-9 20.7
tmin 1987-10 22.7
tmin 1987-11 23.6
tmin 1987-12 23.6
tmax 1987-1 31.3
tmax 1987-2 33.2
tmax 1987-3 32.8
tmax 1987-4 32.3
tmax 1987-5 29.6
tmax 1987-6 29.3
tmax 1987-7 30.8
tmax 1987-8 31.9
tmax 1987-9 34.4
tmax 1987-10 33.7
tmax 1987-11 33.2
tmax 1987-12 32.6
prec 1988-1 246.6
prec 1988-2 145.4
prec 1988-3 460.6
prec 1988-4 163.4
prec 1988-5 192.5
prec 1988-6 15.6
prec 1988-7 12
prec 1988-8 4.3
prec 1988-9 95.2
prec 1988-10 108.9
prec 1988-11 93.6
prec 1988-12 275
tmin 1988-1 24
tmin 1988-2 23.9
tmin 1988-3 23.5
tmin 1988-4 22.2
tmin 1988-5 19.7
tmin 1988-6 17
tmin 1988-7 16.3
tmin 1988-8 19.4
tmin 1988-9 20.9
tmin 1988-10 22.1
tmin 1988-11 22.6
tmin 1988-12 22.6
tmax 1988-1 32
tmax 1988-2 32.7
tmax 1988-3 31.2
tmax 1988-4 30.5
tmax 1988-5 28.6
tmax 1988-6 27.8
tmax 1988-7 30.7
tmax 1988-8 34.7
tmax 1988-9 33.8
tmax 1988-10 35.1
tmax 1988-11 35.1
tmax 1988-12 32.3
prec 1989-1 248.2
prec 1989-2 221.6
prec 1989-3 194.8
prec 1989-4 181.4
prec 1989-5 36.6
prec 1989-6 42.6
prec 1989-7 66.7
prec 1989-8 61.1
prec 1989-9 50.5
prec 1989-10 167.1
prec 1989-11 140.2
prec 1989-12 261.5
tmin 1989-1 22.8
tmin 1989-2 22.9
tmin 1989-3 22.1
tmin 1989-4 20.9
tmin 1989-5 17.7
tmin 1989-6 17.7
tmin 1989-7 16.1
tmin 1989-8 17.3
tmin 1989-9 19.3
tmin 1989-10 20.8
tmin 1989-11 21.3
tmin 1989-12 23
tmax 1989-1 31.6
tmax 1989-2 32.1
tmax 1989-3 31.9
tmax 1989-4 30.7
tmax 1989-5 29.1
tmax 1989-6 28.6
tmax 1989-7 29.2
tmax 1989-8 30.8
tmax 1989-9 32.4
tmax 1989-10 32.9
tmax 1989-11 32.4
tmax 1989-12 32.2
prec 1990-1 439.6
prec 1990-2 250
prec 1990-3 159.7
prec 1990-4 115.9
prec 1990-5 357.2
prec 1990-6 56.8
prec 1990-7 83.8
prec 1990-8 45.9
prec 1990-9 86.7
prec 1990-10 98.6
prec 1990-11 293.4
prec 1990-12 350.1
tmin 1990-1 22.3
tmin 1990-2 22.5
tmin 1990-3 21.9
tmin 1990-4 21.1
tmin 1990-5 19.4
tmin 1990-6 18
tmin 1990-7 15.8
tmin 1990-8 17.7
tmin 1990-9 19.3
tmin 1990-10 22.1
tmin 1990-11 23
tmin 1990-12 23.2
tmax 1990-1 31.2
tmax 1990-2 31.1
tmax 1990-3 31.9
tmax 1990-4 31.3
tmax 1990-5 28.9
tmax 1990-6 27.3
tmax 1990-7 27.6
tmax 1990-8 31.1
tmax 1990-9 32.8
tmax 1990-10 33.1
tmax 1990-11 32.5
tmax 1990-12 32.5
prec 1991-1 254.8
prec 1991-2 314.1
prec 1991-3 183.8
prec 1991-4 127.2
prec 1991-5 80.5
prec 1991-6 103.1
prec 1991-7 41.3
prec 1991-8 10.7
prec 1991-9 110.2
prec 1991-10 104.2
prec 1991-11 177.7
prec 1991-12 174.8
tmin 1991-1 23.6
tmin 1991-2 23.4
tmin 1991-3 22.8
tmin 1991-4 21.4
tmin 1991-5 19.5
tmin 1991-6 18
tmin 1991-7 16.3
tmin 1991-8 17.3
tmin 1991-9 20.5
tmin 1991-10 20.8
tmin 1991-11 22.2
tmin 1991-12 23.1
tmax 1991-1 31.5
tmax 1991-2 32.2
tmax 1991-3 31.4
tmax 1991-4 31.2
tmax 1991-5 30.1
tmax 1991-6 29.7
tmax 1991-7 30.7
tmax 1991-8 31.4
tmax 1991-9 32.9
tmax 1991-10 33.2
tmax 1991-11 32.4
tmax 1991-12 32.3
prec 1992-1 307.6
prec 1992-2 158.8
prec 1992-3 275.8
prec 1992-4 177.6
prec 1992-5 159.7
prec 1992-6 116.4
prec 1992-7 42.8
prec 1992-8 139.3
prec 1992-9 38.7
prec 1992-10 209.4
prec 1992-11 216.3
prec 1992-12 255.1
tmin 1992-1 22.3
tmin 1992-2 22.9
tmin 1992-3 23.8
tmin 1992-4 21.4
tmin 1992-5 21.1
tmin 1992-6 19.1
tmin 1992-7 16.8
tmin 1992-8 18.1
tmin 1992-9 18.4
tmin 1992-10 22.2
tmin 1992-11 22.2
tmin 1992-12 22.8
tmax 1992-1 31.3
tmax 1992-2 30.8
tmax 1992-3 30.1
tmax 1992-4 32.1
tmax 1992-5 31.1
tmax 1992-6 29.1
tmax 1992-7 28.8
tmax 1992-8 29.5
tmax 1992-9 33.3
tmax 1992-10 32.7
tmax 1992-11 32.2
tmax 1992-12 32.2
prec 1993-1 495.9
prec 1993-2 171.1
prec 1993-3 246.2
prec 1993-4 108.1
prec 1993-5 86
prec 1993-6 19.4
prec 1993-7 21
prec 1993-8 53.3
prec 1993-9 189.5
prec 1993-10 102.9
prec 1993-11 131.3
prec 1993-12 347.5
tmin 1993-1 23
tmin 1993-2 22.3
tmin 1993-3 22.4
tmin 1993-4 21.6
tmin 1993-5 19.6
tmin 1993-6 17.8
tmin 1993-7 16.8
tmin 1993-8 17.2
tmin 1993-9 20.4
tmin 1993-10 22.2
tmin 1993-11 22.5
tmin 1993-12 22.7
tmax 1993-1 30.7
tmax 1993-2 31.5
tmax 1993-3 30.8
tmax 1993-4 31.8
tmax 1993-5 31.3
tmax 1993-6 30.9
tmax 1993-7 29.6
tmax 1993-8 31.2
tmax 1993-9 32.9
tmax 1993-10 33.1
tmax 1993-11 33
tmax 1993-12 32.6
prec 1994-1 183.9
prec 1994-2 219.4
prec 1994-3 183.5
prec 1994-4 163
prec 1994-5 32
prec 1994-6 136.2
prec 1994-7 17.7
prec 1994-8 11.1
prec 1994-9 42
prec 1994-10 90.8
prec 1994-11 237.3
prec 1994-12 274.5
tmin 1994-1 22.7
tmin 1994-2 23
tmin 1994-3 22.4
tmin 1994-4 21.6
tmin 1994-5 20
tmin 1994-6 17.8
tmin 1994-7 17
tmin 1994-8 17.6
tmin 1994-9 19.4
tmin 1994-10 21.4
tmin 1994-11 22.3
tmin 1994-12 22.1
tmax 1994-1 31.9
tmax 1994-2 31.8
tmax 1994-3 32.4
tmax 1994-4 32
tmax 1994-5 31.4
tmax 1994-6 30.4
tmax 1994-7 30.3
tmax 1994-8 33.1
tmax 1994-9 34.4
tmax 1994-10 34
tmax 1994-11 33.7
tmax 1994-12 32.3
prec 1995-1 42.9
prec 1995-2 272.2
prec 1995-3 237.2
prec 1995-4 63.8
prec 1995-5 5.1
prec 1995-6 3.5
prec 1995-7 40.7
prec 1995-8 10.2
prec 1995-9 27.3
prec 1995-10 54.8
prec 1995-11 218.1
prec 1995-12 245
tmin 1995-1 23.5
tmin 1995-2 23.7
tmin 1995-3 22.9
tmin 1995-4 21.2
tmin 1995-5 19.2
tmin 1995-6 18
tmin 1995-7 17.4
tmin 1995-8 18
tmin 1995-9 20.7
tmin 1995-10 22.7
tmin 1995-11 22.5
tmin 1995-12 22.9
tmax 1995-1 31.8
tmax 1995-2 31.6
tmax 1995-3 31
tmax 1995-4 31.6
tmax 1995-5 29.9
tmax 1995-6 29.6
tmax 1995-7 30.2
tmax 1995-8 30.6
tmax 1995-9 33
tmax 1995-10 33.3
tmax 1995-11 32.7
tmax 1995-12 31.5
prec 1996-1 361.6
prec 1996-2 168.8
prec 1996-3 146.1
prec 1996-4 154.1
prec 1996-5 74.7
prec 1996-6 10.6
prec 1996-7 21.3
prec 1996-8 47.6
prec 1996-9 177.5
prec 1996-10 162.1
prec 1996-11 207.9
prec 1996-12 340.6
tmin 1996-1 22.4
tmin 1996-2 23.1
tmin 1996-3 22.5
tmin 1996-4 21.2
tmin 1996-5 19.7
tmin 1996-6 18
tmin 1996-7 17.6
tmin 1996-8 18.5
tmin 1996-9 18.8
tmin 1996-10 22
tmin 1996-11 21.6
tmin 1996-12 22.2
tmax 1996-1 31.2
tmax 1996-2 31.1
tmax 1996-3 31.2
tmax 1996-4 31.8
tmax 1996-5 29.2
tmax 1996-6 27.7
tmax 1996-7 29.7
tmax 1996-8 31.2
tmax 1996-9 30.9
tmax 1996-10 33.4
tmax 1996-11 31.3
tmax 1996-12 31
prec 1997-1 368.6
prec 1997-2 292.5
prec 1997-3 359.8
prec 1997-4 74.3
prec 1997-5 78
prec 1997-6 35
prec 1997-7 12
prec 1997-8 39.6
prec 1997-9 57.3
prec 1997-10 183.7
prec 1997-11 168.2
prec 1997-12 409.2
tmin 1997-1 22.8
tmin 1997-2 23.1
tmin 1997-3 22.4
tmin 1997-4 20
tmin 1997-5 20.4
tmin 1997-6 18.4
tmin 1997-7 19.2
tmin 1997-8 16.8
