date mon value
prec 1 200
prec 2 245
prec 3 312
prec 4 278
prec 5 224
prec 6 115
prec 7 87
prec 8 51
prec 9 32
prec 10 41
prec 11 57
prec 12 112
tmax 1 30.8
tmax 2 30.6
tmax 3 30.7
tmax 4 30.9
tmax 5 31.1
tmax 6 30.9
tmax 7 31.1
tmax 8 31.6
tmax 9 32.1
tmax 10 32.2
tmax 11 32
tmax 12 31.5
tmin 1 20.8
tmin 2 20.6
tmin 3 20.7
tmin 4 20.9
tmin 5 21.1
tmin 6 20.9
tmin 7 20.9
tmin 8 21.4
tmin 9 21.9
tmin 10 22
tmin 11 21.8
tmin 12 21.3
