Date	Value
20150223	66.375
20150224	64.7083333333333
20150225	67.25
20150226	66.0434782608696
20150227	61.625
20150228	58.7083333333333
20150301	62.3333333333333
20150302	67.7916666666667
20150303	66
20150304	66.6666666666667
20150305	70.7083333333333
20150306	63.6666666666667
20150307	58.1666666666667
20150308	63.4166666666667
20150309	64
20150310	66.9583333333333
20150311	68.1666666666667
20150312	63.8333333333333
20150313	60.4583333333333
20150314	61.875
20150315	59.25
20150316	61.5416666666667
20150317	63.75
20150318	57.5
20150319	68.2083333333333
20150320	59.1666666666667
20150321	60.2083333333333
20150322	58.2083333333333
20150323	57.4166666666667
20150324	58.0833333333333
20150325	59.375
20150326	58.7916666666667
20150327	60.0833333333333
20150328	55.7083333333333
20150329	55.4782608695652
20150330	53.5416666666667
20150331	56.3333333333333
20150401	62.5416666666667
20150402	63.2916666666667
20150403	61
20150404	67.0416666666667
20150405	62.0416666666667
20150406	63.2916666666667
20150407	59.4166666666667
20150408	59.1666666666667
20150409	59.125
20150410	58.4583333333333
20150411	57.25
20150412	55.9583333333333
20150413	58.9166666666667
20150414	60.0833333333333
20150415	60.2083333333333
20150416	58
20150417	58
20150418	60.8333333333333
20150419	56.4166666666667
20150420	60.5833333333333
20150421	56.2083333333333
20150422	57
20150423	54.4583333333333
20150424	54.7916666666667
20150425	54.4583333333333
20150426	56.7916666666667
20150427	62.0833333333333
20150428	72
20150429	73.5416666666667
20150430	89.875
20150501	80.7083333333333
20150502	74.5
20150503	68.5
20150504	67.5416666666667
20150505	65.0833333333333
20150506	65.2916666666667
20150507	64.2083333333333
20150508	63
20150509	63.5
20150510	63.25
20150511	63.2916666666667
20150512	65.1666666666667
20150513	65.4583333333333
20150514	61.0833333333333
20150515	65.125
20150516	62.9166666666667
20150517	68
20150518	64.625
20150519	51.0416666666667
20150520	51.75
20150521	58.375
20150522	66.8333333333333
20150523	65
20150524	62.625
20150525	67.1666666666667
20150526	59.625
20150527	61.625
20150528	56.875
20150529	57.1666666666667
20150530	58.1666666666667
20150531	67.9583333333333
20150601	69.6666666666667
20150602	69.875
20150603	78.4166666666667
20150604	82.625
20150605	85.1666666666667
20150606	79.25
20150607	86.5833333333333
20150608	94.4166666666667
20150609	85.7083333333333
20150610	88.125
20150611	89
20150612	86.5416666666667
20150613	88.4166666666667
20150614	85.25
20150615	80.3333333333333
20150616	77.625
20150617	74.875
20150618	80.0416666666667
20150619	74.5416666666667
20150620	70.4166666666667
20150621	68.75
20150622	68.1666666666667
20150623	67.9166666666667
20150624	73.625
20150625	75.1666666666667
20150626	71.2916666666667
20150627	66.3333333333333
20150628	77.7916666666667
20150629	76.9583333333333
