date mon value
prec 1 293
prec 2 337
prec 3 368
prec 4 337
prec 5 199
prec 6 76
prec 7 53
prec 8 31
prec 9 27
prec 10 60
prec 11 76
prec 12 191
tmax 1 30.6
tmax 2 30.4
tmax 3 30.5
tmax 4 30.8
tmax 5 30.8
tmax 6 30.7
tmax 7 30.4
tmax 8 30.9
tmax 9 31.5
tmax 10 31.7
tmax 11 31.5
tmax 12 31
tmin 1 20.1
tmin 2 19.9
tmin 3 20
tmin 4 20.2
tmin 5 20.3
tmin 6 20.2
tmin 7 20.4
tmin 8 20.9
tmin 9 21.5
tmin 10 21.7
tmin 11 21.5
tmin 12 21
