var date value
prec 1990-1 235.7
prec 1990-2 421.3
prec 1990-3 247.3
prec 1990-4 362.5
prec 1990-5 180.8
prec 1990-6 77.7
prec 1990-7 84.7
prec 1990-8 33.9
prec 1990-9 56.1
prec 1990-10 53.5
prec 1990-11 86.5
prec 1990-12 272.8
tmin 1990-1 22.2
tmin 1990-2 21.7
tmin 1990-3 22.3
tmin 1990-4 22.7
tmin 1990-5 22.5
tmin 1990-6 21.7
tmin 1990-7 20.9
tmin 1990-8 21.2
tmin 1990-9 21.9
tmin 1990-10 22.3
tmin 1990-11 22.5
tmin 1990-12 22.3
tmax 1990-1 31.1
tmax 1990-2 30.3
tmax 1990-3 30.8
tmax 1990-4 31.3
tmax 1990-5 31.6
tmax 1990-6 31.9
tmax 1990-7 32.1
tmax 1990-8 32.8
tmax 1990-9 33
tmax 1990-10 33
tmax 1990-11 32.4
tmax 1990-12 31.9
prec 1991-1 374.9
prec 1991-2 322
prec 1991-3 289.8
prec 1991-4 287.4
prec 1991-5 160.3
prec 1991-6 126.7
prec 1991-7 29.5
prec 1991-8 50
prec 1991-9 40.6
prec 1991-10 46.6
prec 1991-11 18.9
prec 1991-12 68.7
tmin 1991-1 21.5
tmin 1991-2 22.3
tmin 1991-3 22.4
tmin 1991-4 22.1
tmin 1991-5 22.3
tmin 1991-6 21.8
tmin 1991-7 20.8
tmin 1991-8 21
tmin 1991-9 21.9
tmin 1991-10 21.6
tmin 1991-11 22.4
tmin 1991-12 22.2
tmax 1991-1 30.4
tmax 1991-2 30.9
tmax 1991-3 30.9
tmax 1991-4 30.7
tmax 1991-5 31.4
tmax 1991-6 32
tmax 1991-7 32
tmax 1991-8 32.6
tmax 1991-9 33
tmax 1991-10 32.3
tmax 1991-11 32.3
tmax 1991-12 31.8
prec 1992-1 177.3
prec 1992-2 375.6
prec 1992-3 285.3
prec 1992-4 263.4
prec 1992-5 92.9
prec 1992-6 71
prec 1992-7 51.9
prec 1992-8 16.4
prec 1992-9 2.4
prec 1992-10 9.6
prec 1992-11 58.5
prec 1992-12 101.4
tmin 1992-1 21.9
tmin 1992-2 21.7
tmin 1992-3 22.2
tmin 1992-4 22.5
tmin 1992-5 22.9
tmin 1992-6 21.6
tmin 1992-7 20.8
tmin 1992-8 21.4
tmin 1992-9 21.6
tmin 1992-10 21.9
tmin 1992-11 21.9
tmin 1992-12 21.9
tmax 1992-1 30.8
tmax 1992-2 30.3
tmax 1992-3 30.7
tmax 1992-4 31.1
tmax 1992-5 32
tmax 1992-6 31.8
tmax 1992-7 32
tmax 1992-8 33
tmax 1992-9 32.7
tmax 1992-10 32.6
tmax 1992-11 31.8
tmax 1992-12 31.5
prec 1993-1 276.7
prec 1993-2 283.8
prec 1993-3 157.7
prec 1993-4 267.6
prec 1993-5 143.3
prec 1993-6 86.8
prec 1993-7 60.4
prec 1993-8 38.7
prec 1993-9 42
prec 1993-10 56.1
prec 1993-11 264.4
prec 1993-12 203.4
tmin 1993-1 21.6
tmin 1993-2 21.5
tmin 1993-3 21.8
tmin 1993-4 22
tmin 1993-5 22.5
tmin 1993-6 21.6
tmin 1993-7 21
tmin 1993-8 21.1
tmin 1993-9 21.5
tmin 1993-10 22
tmin 1993-11 22.2
tmin 1993-12 22.2
tmax 1993-1 30.5
tmax 1993-2 30.1
tmax 1993-3 30.3
tmax 1993-4 30.6
tmax 1993-5 31.6
tmax 1993-6 31.8
tmax 1993-7 32.2
tmax 1993-8 32.7
tmax 1993-9 32.6
tmax 1993-10 32.7
tmax 1993-11 32.1
tmax 1993-12 31.8
prec 1994-1 376.1
prec 1994-2 328.6
prec 1994-3 346.2
prec 1994-4 378.6
prec 1994-5 193.5
prec 1994-6 122.2
prec 1994-7 53.2
prec 1994-8 34.7
prec 1994-9 42.9
prec 1994-10 44.3
prec 1994-11 152.2
prec 1994-12 108.7
tmin 1994-1 21.6
tmin 1994-2 21.8
tmin 1994-3 21.8
tmin 1994-4 22
tmin 1994-5 22.2
tmin 1994-6 21.4
tmin 1994-7 20.8
tmin 1994-8 21.3
tmin 1994-9 22.2
tmin 1994-10 22.2
tmin 1994-11 22.2
tmin 1994-12 22.1
tmax 1994-1 30.5
tmax 1994-2 30.4
tmax 1994-3 30.3
tmax 1994-4 30.6
tmax 1994-5 31.3
tmax 1994-6 31.6
tmax 1994-7 32
tmax 1994-8 32.9
tmax 1994-9 33.3
tmax 1994-10 32.9
tmax 1994-11 32.1
tmax 1994-12 31.7
prec 1995-1 325.9
prec 1995-2 284.5
prec 1995-3 266.9
prec 1995-4 437.5
prec 1995-5 236.7
prec 1995-6 111.8
prec 1995-7 53.1
prec 1995-8 14.5
prec 1995-9 29.4
prec 1995-10 45.4
prec 1995-11 201.2
prec 1995-12 207.7
tmin 1995-1 22
tmin 1995-2 21.8
tmin 1995-3 22.7
tmin 1995-4 22.2
tmin 1995-5 22.2
tmin 1995-6 21.7
tmin 1995-7 21.1
tmin 1995-8 22.1
tmin 1995-9 22.8
tmin 1995-10 22.8
tmin 1995-11 22.4
tmin 1995-12 22.4
tmax 1995-1 30.9
tmax 1995-2 30.4
tmax 1995-3 31.2
tmax 1995-4 30.8
tmax 1995-5 31.3
tmax 1995-6 31.9
tmax 1995-7 32.3
tmax 1995-8 33.7
tmax 1995-9 33.9
tmax 1995-10 33.5
tmax 1995-11 32.3
tmax 1995-12 32
prec 1996-1 345.5
prec 1996-2 228.2
prec 1996-3 454.4
prec 1996-4 477.9
prec 1996-5 175.1
prec 1996-6 125.3
prec 1996-7 103
prec 1996-8 32.8
prec 1996-9 42.9
prec 1996-10 34.8
prec 1996-11 89.9
prec 1996-12 96.3
tmin 1996-1 22.1
tmin 1996-2 22.2
tmin 1996-3 22.3
tmin 1996-4 22.1
tmin 1996-5 22.4
tmin 1996-6 22.1
tmin 1996-7 21.2
tmin 1996-8 21.6
tmin 1996-9 22.3
tmin 1996-10 22.4
tmin 1996-11 22.4
tmin 1996-12 22.1
tmax 1996-1 31
tmax 1996-2 30.8
tmax 1996-3 30.8
tmax 1996-4 30.7
tmax 1996-5 31.5
tmax 1996-6 32.3
tmax 1996-7 32.4
tmax 1996-8 33.2
tmax 1996-9 33.4
tmax 1996-10 33.1
tmax 1996-11 32.3
tmax 1996-12 31.7
prec 1997-1 327.8
prec 1997-2 279.6
prec 1997-3 326.9
prec 1997-4 385.3
prec 1997-5 163
prec 1997-6 46.3
prec 1997-7 56.5
prec 1997-8 45
prec 1997-9 8.3
prec 1997-10 2.4
prec 1997-11 153.5
prec 1997-12 196.9
tmin 1997-1 21.5
tmin 1997-2 22
tmin 1997-3 22.1
tmin 1997-4 22.1
tmin 1997-5 22.5
tmin 1997-6 21.9
tmin 1997-7 21.4
tmin 1997-8 21.9
tmin 1997-9 22.6
tmin 1997-10 23.3
tmin 1997-11 23.2
tmin 1997-12 22.8
tmax 1997-1 30.4
tmax 1997-2 30.6
tmax 1997-3 30.6
tmax 1997-4 30.7
tmax 1997-5 31.6
tmax 1997-6 32.1
tmax 1997-7 32.6
tmax 1997-8 33.5
tmax 1997-9 33.7
tmax 1997-10 34
tmax 1997-11 33.1
tmax 1997-12 32.4
prec 1998-1 297.9
prec 1998-2 258.2
prec 1998-3 310.4
prec 1998-4 362.8
prec 1998-5 130.3
prec 1998-6 107.9
prec 1998-7 44.5
prec 1998-8 34.4
