var date value
prec 1990-1 77.7
prec 1990-2 118.6
prec 1990-3 107.8
prec 1990-4 129.4
prec 1990-5 49.5
prec 1990-6 11.6
prec 1990-7 0.4
prec 1990-8 1.8
prec 1990-9 1.2
prec 1990-10 61
prec 1990-11 103.2
prec 1990-12 177.8
tmin 1990-1 19.5
tmin 1990-2 17.7
tmin 1990-3 17.5
tmin 1990-4 16.1
tmin 1990-5 11.2
tmin 1990-6 8.4
tmin 1990-7 6.7
tmin 1990-8 11
tmin 1990-9 12.4
tmin 1990-10 18.3
tmin 1990-11 19
tmin 1990-12 19.5
tmax 1990-1 32.5
tmax 1990-2 30
tmax 1990-3 30.6
tmax 1990-4 27.5
tmax 1990-5 25.4
tmax 1990-6 21.9
tmax 1990-7 23.7
tmax 1990-8 29
tmax 1990-9 30.3
tmax 1990-10 31.7
tmax 1990-11 32.6
tmax 1990-12 32.8
prec 1991-1 189.8
prec 1991-2 173.9
prec 1991-3 186.7
prec 1991-4 75.4
prec 1991-5 14.7
prec 1991-6 12.7
prec 1991-7 1.5
prec 1991-8 0.2
prec 1991-9 10.8
prec 1991-10 55.1
prec 1991-11 131.3
prec 1991-12 130.7
tmin 1991-1 20.1
tmin 1991-2 19.4
tmin 1991-3 18.9
tmin 1991-4 15.5
tmin 1991-5 13
tmin 1991-6 9.5
tmin 1991-7 8.3
tmin 1991-8 10
tmin 1991-9 14
tmin 1991-10 15.2
tmin 1991-11 17.4
tmin 1991-12 18.6
tmax 1991-1 31
tmax 1991-2 31.2
tmax 1991-3 29.7
tmax 1991-4 28.6
tmax 1991-5 28
tmax 1991-6 25.4
tmax 1991-7 26.4
tmax 1991-8 28.8
tmax 1991-9 30.9
tmax 1991-10 31.6
tmax 1991-11 31.4
tmax 1991-12 33.7
prec 1992-1 224.7
prec 1992-2 211.9
prec 1992-3 114.6
prec 1992-4 28.7
prec 1992-5 12.1
prec 1992-6 17.3
prec 1992-7 5.7
prec 1992-8 2
prec 1992-9 10.9
prec 1992-10 13.8
prec 1992-11 80.3
prec 1992-12 193.6
tmin 1992-1 19.7
tmin 1992-2 18.4
tmin 1992-3 16.9
tmin 1992-4 14.4
tmin 1992-5 12.5
tmin 1992-6 10.7
tmin 1992-7 6.8
tmin 1992-8 10.4
tmin 1992-9 12.9
tmin 1992-10 16.3
tmin 1992-11 16.6
tmin 1992-12 20.1
tmax 1992-1 30.1
tmax 1992-2 29.4
tmax 1992-3 29.2
tmax 1992-4 28.5
tmax 1992-5 27.1
tmax 1992-6 24.6
tmax 1992-7 23.4
tmax 1992-8 27.7
tmax 1992-9 30.1
tmax 1992-10 31.6
tmax 1992-11 31.1
tmax 1992-12 32
prec 1993-1 118
prec 1993-2 100.9
prec 1993-3 192.8
prec 1993-4 54.1
prec 1993-5 17.2
prec 1993-6 3
prec 1993-7 5.4
prec 1993-8 1
prec 1993-9 2.1
prec 1993-10 74.2
prec 1993-11 86.6
prec 1993-12 130.3
tmin 1993-1 20.6
tmin 1993-2 16.9
tmin 1993-3 18
tmin 1993-4 14.9
tmin 1993-5 10.9
tmin 1993-6 8.1
tmin 1993-7 7.8
tmin 1993-8 9.8
tmin 1993-9 13.5
tmin 1993-10 17.8
tmin 1993-11 19.2
tmin 1993-12 19.5
tmax 1993-1 31.6
tmax 1993-2 31.2
tmax 1993-3 30.9
tmax 1993-4 28.9
tmax 1993-5 26.9
tmax 1993-6 26.3
tmax 1993-7 25.1
tmax 1993-8 27.7
