date mon value
prec 1 126
prec 2 163
prec 3 140
prec 4 77
prec 5 31
prec 6 29
prec 7 9
prec 8 4
prec 9 6
prec 10 43
prec 11 68
prec 12 128
tmax 1 30.2
tmax 2 29.4
tmax 3 28.6
tmax 4 26.4
tmax 5 23.9
tmax 6 22.1
tmax 7 22.3
tmax 8 24.4
tmax 9 26.7
tmax 10 29.4
tmax 11 29.9
tmax 12 30.4
tmin 1 18.1
tmin 2 17.4
tmin 3 16.5
tmin 4 14.3
tmin 5 11.9
tmin 6 10
tmin 7 10.1
tmin 8 12.2
tmin 9 14.5
tmin 10 17.2
tmin 11 17.7
tmin 12 18.2
